id,param1,param2,bnf,type
30,mapreduce.jobhistory.loadedtasks.cache.size,mapreduce.jobhistory.loadedjobs.cache.size,{(mapreduce.jobhistory.loadedtasks.cache.size <= 0 || mapreduce.jobhistory.loadedtasks.cache.size = null) => (mapreduce.jobhistory.loadedjobs.cache.size > 0)},value
31,hbase.master.infoserver.redirect,hbase.master.info.port,{(hbase.master.infoserver.redirect = true) => (hbase.master.info.port != null)},control
32,fs.s3a.multipart.purge,fs.s3a.multipart.purge.age,{(fs.s3a.multipart.purge = true) => (fs.s3a.multipart.purge.age >= 0)},value
33,dfs.client.read.shortcircuit,dfs.client.domain.socket.data.traffic,{(dfs.client.read.shortcircuit = true) => (dfs.client.domain.socket.data.traffic = ANY)},control
34,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.skip.checksum,{(dfs.client.read.shortcircuit = true) => (dfs.client.read.shortcircuit.skip.checksum = ANY)},control
35,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.buffer.size,{(dfs.client.read.shortcircuit = true) => (dfs.client.read.shortcircuit.buffer.size > 0)},value
36,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.streams.cache.size,{(dfs.client.read.shortcircuit = true) => (dfs.client.read.shortcircuit.streams.cache.size > 0)},value
37,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.streams.cache.expiry.ms,{(dfs.client.read.shortcircuit = true) => (dfs.client.read.shortcircuit.streams.cache.expiry.ms > 0)},value
38,hbase.defaults.for.version.skip,hbase.defaults.for.version,{(hbase.defaults.for.version.skip = true) => (hbase.defaults.for.version = ANY)},overwrite
39,hadoop.security.saslproperties.resolver.class,hadoop.rpc.protection,{(hadoop.security.saslproperties.resolver.class != null) => (hadoop.rpc.protection = ANY)},overwrite
40,hadoop.security.saslproperties.resolver.class,hadoop.rpc.protection.non-whitelist,{(hadoop.security.saslproperties.resolver.class != null) => (hadoop.rpc.protection.non-whitelist = ANY)},overwrite
41,hadoop.security.group.mapping.ldap.bind.password,hadoop.security.group.mapping.ldap.bind.password.file,{(hadoop.security.group.mapping.ldap.bind.password = null) => (hadoop.security.group.mapping.ldap.bind.password.file != null)},overwrite
42,dfs.namenode.lifeline.handler.count,dfs.namenode.lifeline.handler.ratio,{(dfs.namenode.lifeline.handler.count != null) => (dfs.namenode.lifeline.handler.ratio = ANY)},overwrite
43,yarn.resourcemanager.store.class,yarn.resourcemanager.zk-state-store.parent-path,{(yarn.resourcemanager.store.class != 'org.apache.hadoop.yarn.server.resourcemanager.recovery.NullRMStateStore') => (dfs.datanode.max.locked.memory > 0)},behavior
44,yarn.resourcemanager.store.class,yarn.resourcemanager.fs.state-store.uri,{(yarn.resourcemanager.store.class = 'org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore') => (yarn.resourcemanager.fs.state-store.uri = null)},overwrite
45,dfs.balancer.keytab.enabled,dfs.balancer.keytab.file,{(dfs.balancer.keytab.enabled = true) => (dfs.balancer.keytab.file != null)},control
46,fs.azure.secure.mode,fs.azure.local.sas.key.mode,{(fs.azure.secure.mode = false) => (fs.azure.local.sas.key.mode = ANY) && (fs.azure.secure.mode = true) => (fs.azure.local.sas.key.mode = true)},control
47,fs.azure.authorization,fs.azure.enable.spnego.token.cache,{(fs.azure.authorization = true) => (fs.azure.enable.spnego.token.cache = ANY) && (fs.azure.secure.mode = false) => (fs.azure.authorization = false)},control
48,hadoop.security.groups.cache.background.reload,hadoop.security.groups.cache.background.reload.threads,{(hadoop.security.groups.cache.background.reload = true) => (hadoop.security.groups.cache.background.reload.threads > 0)},value
49,fs.s3a.fast.upload,fs.s3a.fast.upload.buffer,{(fs.s3a.fast.upload = true) => (fs.s3a.fast.upload.buffer != null)},control
50,ipc.client.ping,ipc.ping.interval,{(ipc.client.ping = true) => (ipc.ping.interval > 0)},value
51,dfs.datanode.sync.behind.writes,dfs.datanode.sync.behind.writes.in.background,{(dfs.datanode.sync.behind.writes = true) => (dfs.datanode.sync.behind.writes.in.background = ANY)},behavior
52,dfs.balancer.keytab.enabled,dfs.balancer.address,{(dfs.balancer.keytab.enabled = true) => (dfs.balancer.address != null)},control
53,dfs.webhdfs.rest-csrf.enabled,dfs.webhdfs.rest-csrf.custom-header,{(dfs.webhdfs.rest-csrf.enabled = true) => (dfs.client.block.write.replace-datanode-on-failure.enable = true)},control
54,yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,{(dfs.client.block.write.replace-datanode-on-failure.enable = true) => (yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users = ANY) && (yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user = ANY)},behavior
55,yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.system-reserved-memory-mb,{(yarn.nodemanager.resource.detect-hardware-capabilities = true) => (yarn.nodemanager.resource.system-reserved-memory-mb >= 0)},value
56,yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.count-logical-processors-as-cores,{(yarn.nodemanager.resource.cpu-vcores = -1) && (yarn.nodemanager.resource.detect-hardware-capabilities = true) => (yarn.nodemanager.resource.count-logical-processors-as-cores = ANY)},control
57,yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.pcores-vcores-multiplier,{(yarn.nodemanager.resource.detect-hardware-capabilities = true) => (yarn.nodemanager.resource.pcores-vcores-multiplier > 0)},value
58,mapreduce.task.profile,mapreduce.task.profile.reduces,{(mapreduce.task.profile = true) => (mapreduce.task.profile.reduces in ANY)},control
59,mapreduce.task.profile,mapreduce.task.profile.maps,{(mapreduce.task.profile = true) => (mapreduce.task.profile.maps in ANY)},control
60,mapreduce.job.classloader,mapreduce.job.classloader.system.classes,{(mapreduce.job.classloader = true) => (mapreduce.job.classloader.system.classes != null)},control
61,hbase.coprocessor.enabled,hbase.coprocessor.user.enabled,{(hbase.coprocessor.enabled = false) => (hbase.coprocessor.user.enabled = ANY)},overwrite
62,hbase.rest.csrf.enabled,hbase.rest-csrf.browser-useragents-regex,{(hbase.rest.csrf.enabled = true) => (hbase.rest-csrf.browser-useragents-regex != null)},control
63,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.truststore,{(hadoop.security.group.mapping.ldap.ssl = true) => (hadoop.security.group.mapping.ldap.ssl.truststore != null)},control
64,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.keystore.password,{(hadoop.security.group.mapping.ldap.ssl = true) => (hadoop.security.group.mapping.ldap.ssl.keystore.password != null)},control
65,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,{(hadoop.security.group.mapping.ldap.ssl = true) => (hadoop.security.group.mapping.ldap.ssl.truststore.password.file != null)},control
66,hadoop.registry.secure,hadoop.registry.jaas.context,{(hadoop.registry.secure = true) => (hadoop.registry.jaas.context != null)},control
67,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.keystore,{(hadoop.security.group.mapping.ldap.ssl = true) => (hadoop.security.group.mapping.ldap.ssl.keystore != null)},control
68,hadoop.security.dns.log-slow-lookups.enabled,hadoop.security.dns.log-slow-lookups.threshold.ms,{(hadoop.security.dns.log-slow-lookups.enabled = true) => (hadoop.security.dns.log-slow-lookups.threshold.ms > 0)},value
69,hadoop.ssl.enabled,hadoop.ssl.enabled.protocols,{(hadoop.ssl.enabled = true) => (hadoop.ssl.enabled.protocols != null)},control
70,dfs.namenode.replication.considerLoad,dfs.namenode.replication.considerLoad.factor,{(dfs.namenode.replication.considerLoad = true) => (dfs.namenode.replication.considerLoad.factor > 1)},value
71,dfs.encrypt.data.transfer.cipher.suites,dfs.encrypt.data.transfer.cipher.key.bitlength,"{(dfs.encrypt.data.transfer.cipher.suites = 'AES/CTR/NoPadding') => (dfs.encrypt.data.transfer.cipher.key.bitlength in {128, 192, 256}) && (dfs.encrypt.data.transfer.cipher.suites != null) && (dfs.encrypt.data.transfer.cipher.key.bitlength != null)}",value
72,yarn.resourcemanager.ha.enabled,yarn.client.failover-sleep-max-ms,{(yarn.resourcemanager.ha.enabled = true) => (yarn.client.failover-sleep-max-ms > 0)},value
73,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.ha.automatic-failover.enabled,{(yarn.resourcemanager.ha.enabled = true) => (yarn.resourcemanager.ha.automatic-failover.enabled = true)},control
74,yarn.resourcemanager.ha.enabled,yarn.client.failover-max-attempts,{(yarn.resourcemanager.ha.enabled = true) => (yarn.client.failover-max-attempts > 0)},value
75,yarn.resourcemanager.ha.enabled,yarn.client.failover-sleep-base-ms,{(yarn.resourcemanager.ha.enabled = true) => (yarn.client.failover-sleep-base-ms > 0)},value
76,yarn.acl.enable,yarn.acl.reservation-enable,{(yarn.acl.enable = true) => (yarn.acl.reservation-enable = ANY)},control
77,yarn.nodemanager.recovery.enabled,yarn.nodemanager.recovery.dir,{(yarn.nodemanager.recovery.enabled = true) => (yarn.nodemanager.recovery.dir != null)},control
78,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.ha.automatic-failover.embedded,{(yarn.resourcemanager.ha.enabled = true) => (yarn.resourcemanager.ha.automatic-failover.embedded = ANY)},control
79,mapreduce.map.output.compress,mapreduce.map.output.compress.codec,{(mapreduce.map.output.compress = true) => (mapreduce.map.output.compress.codec != null)},control
80,mapreduce.output.fileoutputformat.compress,mapreduce.output.fileoutputformat.compress.type,"{(mapreduce.output.fileoutputformat.compress = true) => (mapreduce.output.fileoutputformat.compress.type in {""BLOCK"", ""RECORD""})}",value
81,mapreduce.ifile.readahead,mapreduce.ifile.readahead.bytes,{(mapreduce.ifile.readahead = true) => (mapreduce.ifile.readahead.bytes > 0) && (mapreduce.ifile.readahead.bytes != null)},value
82,mapreduce.output.fileoutputformat.compress,mapreduce.output.fileoutputformat.compress.codec,{(mapreduce.output.fileoutputformat.compress = true) => (mapreduce.output.fileoutputformat.compress.codec != null)},control
83,hbase.security.authentication,hbase.auth.key.update.interval,{(hbase.security.authentication = 'kerberos') => (hbase.auth.key.update.interval > 0)},value
84,hbase.security.authentication,hbase.auth.token.max.lifetime,{(hbase.security.authentication = 'kerberos') => (hbase.auth.token.max.lifetime > 0)},value
85,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxmaps,{(mapreduce.job.ubertask.enable = true) => (mapreduce.job.ubertask.maxmaps > 0)},value
86,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxbytes,{(mapreduce.job.ubertask.enable = true) => (mapreduce.job.ubertask.maxbytes > 0) && (mapreduce.job.ubertask.maxbytes != null)},value
87,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxreduces,{(mapreduce.job.ubertask.enable = true) => (mapreduce.job.ubertask.maxreduces >= 0) && (mapreduce.job.ubertask.maxreduces != null)},value
88,yarn.timeline-service.recovery.enabled,yarn.timeline-service.state-store-class,{(yarn.timeline-service.recovery.enabled = true) => (yarn.timeline-service.state-store-class != null)},control
89,fs.s3n.multipart.uploads.enabled,fs.s3n.multipart.uploads.block.size,{(fs.s3n.multipart.uploads.enabled = true) => (fs.s3n.multipart.uploads.block.size > 0)},value
90,dfs.xframe.enabled,dfs.xframe.value,"{(dfs.xframe.enabled = true) => (dfs.xframe.value in {""SAMEORIGIN"", ""DENY"", ""ALLOW-FROM""}) && (dfs.xframe.enabled = false) => (dfs.xframe.value = null)}",value
91,dfs.namenode.servicerpc-address,dfs.namenode.service.handler.count,{(dfs.namenode.servicerpc-address != null) => (dfs.namenode.service.handler.count > 0)},value
92,dfs.datanode.max.locked.memory,dfs.cachereport.intervalMsec,{(dfs.datanode.max.locked.memory = 0) => (dfs.cachereport.intervalMsec = ANY)},overwrite
93,dfs.client.read.shortcircuit,dfs.domain.socket.path,{(dfs.client.read.shortcircuit = true) => (dfs.domain.socket.path != null)},control
94,yarn.node-labels.configuration-type,yarn.resourcemanager.node-labels.provider,{(yarn.node-labels.configuration-type = 'distributed') => (yarn.resourcemanager.node-labels.provider != null)},control
95,mapreduce.job.end-notification.retry.attempts,mapreduce.job.end-notification.max.attempts,{(mapreduce.job.end-notification.retry.attempts >= 0) => (mapreduce.job.end-notification.retry.attempts <= mapreduce.job.end-notification.max.attempts)},value
96,mapreduce.job.end-notification.retry.interval,mapreduce.job.end-notification.max.retry.interval,{(mapreduce.job.end-notification.retry.interval >= 0) => (mapreduce.job.end-notification.retry.interval <= mapreduce.job.end-notification.max.retry.interval)},value
97,yarn.resourcemanager.state-store.max-completed-applications,yarn.resourcemanager.max-completed-applications,{(yarn.resourcemanager.state-store.max-completed-applications <= yarn.resourcemanager.max-completed-applications) && (yarn.resourcemanager.state-store.max-completed-applications = yarn.resourcemanager.max-completed-applications)},value
98,fs.trash.checkpoint.interval,fs.trash.interval,{(fs.trash.checkpoint.interval = 0) => (fs.trash.checkpoint.interval = fs.trash.interval) && (fs.trash.checkpoint.interval <= fs.trash.interval)},value
99,dfs.datanode.lifeline.interval.seconds,dfs.heartbeat.interval,{(dfs.datanode.lifeline.interval.seconds > dfs.heartbeat.interval) => (dfs.datanode.lifeline.interval.seconds > 0) && (dfs.heartbeat.interval > 0)},value
100,yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,yarn.nm.liveness-monitor.expiry-interval-ms,{(yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs > yarn.nm.liveness-monitor.expiry-interval-ms / 1000) => (yarn.nm.liveness-monitor.expiry-interval-ms < yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs * 1000)},value
101,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,yarn.nm.liveness-monitor.expiry-interval-ms,{(yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > yarn.nm.liveness-monitor.expiry-interval-ms) => (yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > 0) && (yarn.nm.liveness-monitor.expiry-interval-ms > 0)},behavior
102,dfs.namenode.replication.min,dfs.replication,{(dfs.namenode.replication.min >= 1) => (dfs.replication >= dfs.namenode.replication.min) && (dfs.replication != null) && (dfs.namenode.replication.min != null)},value
103,dfs.replication.max,dfs.replication,{(dfs.replication <= dfs.replication.max) => (dfs.replication >= 1) && (dfs.replication.max > 0)},value
104,dfs.namenode.stale.datanode.interval,dfs.namenode.heartbeat.recheck-interval,{(dfs.namenode.stale.datanode.interval > 0) => (dfs.namenode.heartbeat.recheck-interval >= dfs.namenode.stale.datanode.interval)},behavior
105,dfs.namenode.stale.datanode.interval,dfs.namenode.heartbeat,{(dfs.namenode.stale.datanode.interval > 0) => (dfs.namenode.heartbeat.recheck-interval >= dfs.namenode.stale.datanode.interval) && (dfs.namenode.heartbeat != null) && (dfs.namenode.stale.datanode.interval != null)},value
106,dfs.namenode.stale.datanode.interval,dfs.namenode.stale.datanode.minimum.interval,{(dfs.namenode.stale.datanode.interval > 0) => (dfs.namenode.stale.datanode.minimum.interval >= 0) && (dfs.namenode.heartbeat > 0)},value
107,hadoop.registry.zk.retry.ceiling.ms,hadoop.registry.zk.retry.interval.ms,{(hadoop.registry.zk.retry.interval.ms > 0) => (hadoop.registry.zk.retry.ceiling.ms >= hadoop.registry.zk.retry.interval.ms) && (hadoop.registry.zk.retry.ceiling.ms != null) && (hadoop.registry.zk.retry.interval.ms != null)},value
108,hbase.client.pause.cqtbe,hbase.client.pause,{(hbase.client.pause.cqtbe > hbase.client.pause) => (hbase.client.pause.cqtbe > 0) && (hbase.client.pause >= 0)},value
109,dfs.namenode.checkpoint.check.period,dfs.namenode.checkpoint.period,{(dfs.namenode.checkpoint.check.period < dfs.namenode.checkpoint.period) => (dfs.namenode.checkpoint.period > 0)},value
110,dfs.namenode.maintenance.replication.min,dfs.replication,{(dfs.namenode.maintenance.replication.min >= 0) => (dfs.replication >= dfs.namenode.maintenance.replication.min)},value
111,file.bytes-per-checksum,file.stream-buffer-size,{(file.bytes-per-checksum <= file.stream-buffer-size) => (file.bytes-per-checksum in [1..file.stream-buffer-size])},value
112,yarn.scheduler.minimum-allocation-vcores,yarn.nodemanager.resource.cpu-vcores,{(yarn.scheduler.minimum-allocation-vcores >= 1) => (yarn.nodemanager.resource.cpu-vcores >= yarn.scheduler.minimum-allocation-vcores)},value
113,yarn.scheduler.minimum-allocation-mb,yarn.nodemanager.resource.memory-mb,{(yarn.scheduler.minimum-allocation-mb > 0) => (yarn.nodemanager.resource.memory-mb >= yarn.scheduler.minimum-allocation-mb) && (yarn.scheduler.minimum-allocation-mb != null) && (yarn.nodemanager.resource.memory-mb != null)},value
114,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,{(yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > yarn.resourcemanager.rm.container-allocation.expiry-interval-ms) => (yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs > 0) && (yarn.resourcemanager.rm.container-allocation.expiry-interval-ms > 0)},value
115,dfs.balancer.getBlocks.min-block-size,dfs.balancer.getBlocks.size,{(dfs.balancer.getBlocks.min-block-size > 0) => (dfs.balancer.getBlocks.size >= dfs.balancer.getBlocks.min-block-size)},value
116,mapreduce.job.maxtaskfailures.per.tracker,mapreduce.reduce.maxattempts,{(mapreduce.job.maxtaskfailures.per.tracker < mapreduce.reduce.maxattempts) => (mapreduce.job.maxtaskfailures.per.tracker < mapreduce.reduce.maxattempts)},value
117,mapreduce.job.maxtaskfailures.per.tracker,mapreduce.map.maxattempts,{(mapreduce.job.maxtaskfailures.per.tracker < mapreduce.map.maxattempts) => (mapreduce.job.maxtaskfailures.per.tracker < mapreduce.map.maxattempts) && (mapreduce.job.maxtaskfailures.per.tracker != null) && (mapreduce.map.maxattempts != null)},value
118,dfs.namenode.replication.min,dfs.namenode.safemode.replication.min,{(dfs.namenode.safemode.replication.min < dfs.namenode.replication.min) => (dfs.namenode.safemode.replication.min >= dfs.namenode.replication.min)},value
119,dfs.namenode.replication.max-streams-hard-limit,dfs.namenode.replication.max-streams,{(dfs.namenode.replication.max-streams-hard-limit >= dfs.namenode.replication.max-streams) => (dfs.namenode.replication.max-streams >= 0) && (dfs.namenode.replication.max-streams-hard-limit > 0)},value
120,mapreduce.map.java.opts,mapreduce.map.memory.mb,{(mapreduce.map.memory.mb > 0) => (mapreduce.map.java.opts != null)},value
121,yarn.app.attempt.diagnostics.limit.kc,yarn.resourcemanager.state-store.max-completed-applications,{(yarn.resourcemanager.state-store.max-completed-applications > ANY) => (yarn.app.attempt.diagnostics.limit.kc < yarn.resourcemanager.state-store.max-completed-applications)},value
122,dfs.namenode.edits.dir.required,dfs.namenode.edits.dir,{(dfs.namenode.edits.dir.required in dfs.namenode.edits.dir) => (dfs.namenode.edits.dir != null) && (dfs.namenode.edits.dir.required != null)},control
123,dfs.hosts.exclude,dfs.hosts,{(dfs.hosts.exclude != null) => (dfs.hosts != null) && (dfs.hosts.exclude != dfs.hosts)},behavior
124,yarn.resourcemanager.nodes.exclude-path,yarn.resourcemanager.nodes.include-path,{(yarn.resourcemanager.nodes.exclude-path != null) => (yarn.resourcemanager.nodes.include-path != null) && (yarn.resourcemanager.nodes.exclude-path= ANY) && (yarn.resourcemanager.nodes.include-path= ANY)},overwrite
125,fs.s3a.proxy.port,fs.s3a.proxy.host,"{(fs.s3a.proxy.host != null) => (fs.s3a.proxy.port in {80, 443} || fs.s3a.proxy.port = ANY)}",value
126,hadoop.security.dns.nameserver,hadoop.security.dns.interface,{(hadoop.security.dns.nameserver != null) => (hadoop.security.dns.interface != null)},control
127,mapreduce.application.framework.path,mapreduce.application.classpath,{(mapreduce.application.framework.path != null) => (mapreduce.application.classpath in {mapreduce.application.framework.path})},overwrite
128,mapreduce.jobhistory.recovery.enable,mapreduce.jobhistory.recovery.store.class,{(mapreduce.jobhistory.recovery.enable = true) => (mapreduce.jobhistory.recovery.store.class != null)},control
129,hbase.regionserver.hostname.disable.master.reversedns,hbase.regionserver.hostname,{(hbase.regionserver.hostname.disable.master.reversedns = true) => (hbase.regionserver.hostname = null) && (hbase.regionserver.hostname.disable.master.reversedns = false) => (hbase.regionserver.hostname != null)},control
130,fs.s3a.server-side-encryption-algorithm,fs.s3a.server-side-encryption-key,"{(fs.s3a.server-side-encryption-algorithm in {""SSE-KMS"", ""SSE-C""}) => (fs.s3a.server-side-encryption-key != null)}",value
131,yarn.app.mapreduce.am.env,yarn.app.mapreduce.am.admin.user.env,{(yarn.app.mapreduce.am.admin.user.env = ANY) => (yarn.app.mapreduce.am.env = ANY)},overwrite
132,yarn.app.mapreduce.am.command-opts,yarn.app.mapreduce.am.admin-command-opts,{(yarn.app.mapreduce.am.admin-command-opts != null) => (yarn.app.mapreduce.am.command-opts != null)},overwrite
133,mapreduce.job.log4j-properties-file,mapreduce.map.log.level,{(mapreduce.job.log4j-properties-file != null) => (mapreduce.map.log.level = ANY)},overwrite
134,mapreduce.job.log4j-properties-file,yarn.app.mapreduce.am.log.level,{(mapreduce.job.log4j-properties-file != null) => (yarn.app.mapreduce.am.log.level = ANY)},overwrite
