yarn.resourcemanager.state-store.max-completed-applications,"The maximum number of completed applications RM state store keeps, less than or equals to ${yarn.resourcemanager.max-completed-applications}. By default, it equals to ${yarn.resourcemanager.max-completed-applications}. This ensures that the applications kept in the state store are consistent with the applications remembered in RM memory. Any values larger than ${yarn.resourcemanager.max-completed-applications} will be reset to ${yarn.resourcemanager.max-completed-applications}. Note that this value impacts the RM recovery performance.Typically, a smaller value indicates better performance on RM recovery. ",${yarn.resourcemanager.max-completed-applications}
yarn.resourcemanager.zk-state-store.parent-path,Full path of the ZooKeeper znode where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore as the value for yarn.resourcemanager.store.class,/rmstore
yarn.resourcemanager.zk-state-store.root-node.acl,"   ACLs to be used for the root znode when using ZKRMStateStore in an HA   scenario for fencing.   ZKRMStateStore supports implicit fencing to allow a single   ResourceManager write-access to the store. For fencing, the   ResourceManagers in the cluster share read-write-admin privileges on the   root node, but the Active ResourceManager claims exclusive create-delete   permissions.   By default, when this property is not set, we use the ACLs from   yarn.resourcemanager.zk-acl for shared admin access and   rm-address:random-number for username-based exclusive create-delete   access.   This property allows users to set ACLs of their choice instead of using   the default mechanism. For fencing to work, the ACLs should be   carefully set differently on each ResourceManger such that all the   ResourceManagers have shared admin access and the Active ResourceManger   takes over (exclusively) the create-delete access. ",
yarn.resourcemanager.fs.state-store.uri,URI pointing to the location of the FileSystem path where RM state will be stored. This must be supplied when using org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore as the value for yarn.resourcemanager.store.class,${hadoop.tmp.dir}/yarn/system/rmstore
yarn.resourcemanager.fs.state-store.retry-policy-spec,"hdfs client retry policy specification. hdfs client retry is always enabled. Specified in pairs of sleep-time and number-of-retries and (t0, n0), (t1, n1), ..., the first n0 retries sleep t0 milliseconds on average, the following n1 retries sleep t1 milliseconds on average, and so on. ","2000, 500"
yarn.resourcemanager.fs.state-store.num-retries,the number of retries to recover from IOException in FileSystemRMStateStore. ,0
yarn.resourcemanager.fs.state-store.retry-interval-ms,Retry interval in milliseconds in FileSystemRMStateStore. ,1000
yarn.resourcemanager.leveldb-state-store.path,Local path where the RM state will be stored when using org.apache.hadoop.yarn.server.resourcemanager.recovery.LeveldbRMStateStore as the value for yarn.resourcemanager.store.class,${hadoop.tmp.dir}/yarn/system/rmstore
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,The time in seconds between full compactions of the leveldb database. Setting the interval to zero disables the full compaction cycles.,3600
yarn.resourcemanager.ha.enabled,"Enable RM high-availability. When enabled,   (1) The RM starts in the Standby mode by default, and transitions to   the Active mode when prompted to.   (2) The nodes in the RM ensemble are listed in   yarn.resourcemanager.ha.rm-ids   (3) The id of each RM either comes from yarn.resourcemanager.ha.id   if yarn.resourcemanager.ha.id is explicitly specified or can be   figured out by matching yarn.resourcemanager.address.{id} with local address   (4) The actual physical addresses come from the configs of the pattern   - {rpc-config}.{id}",false
yarn.resourcemanager.ha.automatic-failover.enabled,"Enable automatic failover.   By default, it is enabled only when HA is enabled",true
yarn.resourcemanager.ha.automatic-failover.embedded,"Enable embedded automatic failover.   By default, it is enabled only when HA is enabled.   The embedded elector relies on the RM state store to handle fencing,   and is primarily intended to be used in conjunction with ZKRMStateStore. ",true
yarn.resourcemanager.ha.automatic-failover.zk-base-path,"The base znode path to use for storing leader information,   when using ZooKeeper based leader election.",/yarn-leader-election
yarn.resourcemanager.zk-appid-node.split-index,"Index at which last section of application id (with each section   separated by _ in application id) will be split so that application znode   stored in zookeeper RM state store will be stored as two different znodes   (parent-child). Split is done from the end.   For instance, with no split, appid znode will be of the form   application_1352994193343_0001. If the value of this config is 1, the   appid znode will be broken into two parts application_1352994193343_000   and 1 respectively with former being the parent node.   application_1352994193343_0002 will then be stored as 2 under the parent   node application_1352994193343_000. This config can take values from 0 to 4.   0 means there will be no split. If configuration value is outside this   range, it will be treated as config value of 0(i.e. no split). A value   larger than 0 (up to 4) should be configured if you are storing a large number   of apps in ZK based RM state store and state store operations are failing due to   LenError in Zookeeper.",0
yarn.resourcemanager.zk-delegation-token-node.split-index,"Index at which the RM Delegation Token ids will be split so   that the delegation token znodes stored in the zookeeper RM state store   will be stored as two different znodes (parent-child). The split is done   from the end. For instance, with no split, a delegation token znode will   be of the form RMDelegationToken_123456789. If the value of this config is   1, the delegation token znode will be broken into two parts:   RMDelegationToken_12345678 and 9 respectively with former being the parent   node. This config can take values from 0 to 4. 0 means there will be no   split. If the value is outside this range, it will be treated as 0 (i.e.   no split). A value larger than 0 (up to 4) should be configured if you are   running a large number of applications, with long-lived delegation tokens   and state store operations (e.g. failover) are failing due to LenError in   Zookeeper.",0
yarn.resourcemanager.zk-max-znode-size.bytes,Specifies the maximum size of the data that can be stored   in a znode. Value should be same or less than jute.maxbuffer configured   in zookeeper. Default value configured is 1MB.,1048576
yarn.resourcemanager.cluster-id,"Name of the cluster. In a HA setting,   this is used to ensure the RM participates in leader   election for this cluster and ensures it does not affect   other clusters",
yarn.resourcemanager.ha.rm-ids,The list of RM nodes in the cluster when HA is   enabled. See description of yarn.resourcemanager.ha   .enabled for full details on how this is used.,
yarn.resourcemanager.ha.id,"The id (string) of the current RM. When HA is enabled, this   is an optional config. The id of current RM can be set by explicitly   specifying yarn.resourcemanager.ha.id or figured out by matching   yarn.resourcemanager.address.{id} with local address   See description of yarn.resourcemanager.ha.enabled   for full details on how this is used.",
yarn.client.failover-proxy-provider,"When HA is enabled, the class to be used by Clients, AMs and   NMs to failover to the Active RM. It should extend   org.apache.hadoop.yarn.client.RMFailoverProxyProvider",org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider
yarn.client.failover-max-attempts,"When HA is enabled, the max number of times   FailoverProxyProvider should attempt failover. When set,   this overrides the yarn.resourcemanager.connect.max-wait.ms. When   not set, this is inferred from   yarn.resourcemanager.connect.max-wait.ms.",
yarn.client.failover-sleep-base-ms,"When HA is enabled, the sleep base (in milliseconds) to be   used for calculating the exponential delay between failovers. When set,   this overrides the yarn.resourcemanager.connect.* settings. When   not set, yarn.resourcemanager.connect.retry-interval.ms is used instead. ",
yarn.client.failover-sleep-max-ms,"When HA is enabled, the maximum sleep time (in milliseconds)   between failovers. When set, this overrides the   yarn.resourcemanager.connect.* settings. When not set,   yarn.resourcemanager.connect.retry-interval.ms is used instead.",
yarn.client.failover-retries,"When HA is enabled, the number of retries per   attempt to connect to a ResourceManager. In other words,   it is the ipc.client.connect.max.retries to be used during   failover attempts",0
yarn.client.failover-retries-on-socket-timeouts,"When HA is enabled, the number of retries per   attempt to connect to a ResourceManager on socket timeouts. In other   words, it is the ipc.client.connect.max.retries.on.timeouts to be used   during failover attempts",0
yarn.resourcemanager.max-completed-applications,The maximum number of completed applications RM keeps. ,10000
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,Interval at which the delayed token removal thread runs,30000
yarn.resourcemanager.delegation-token.max-conf-size-bytes,"Maximum size in bytes for configurations that can be provided   by application to RM for delegation token renewal.   By experiment, it's roughly 128 bytes per key-value pair.   The default value 12800 allows roughly 100 configs, may be less. ",12800
yarn.resourcemanager.proxy-user-privileges.enabled,"If true, ResourceManager will have proxy-user privileges. Use case: In a secure cluster, YARN requires the user hdfs delegation-tokens to do localization and log-aggregation on behalf of the user. If this is set to true, ResourceManager is able to request new hdfs delegation tokens on behalf of the user. This is needed by long-running-service, because the hdfs tokens will eventually expire and YARN requires new valid tokens to do localization and log-aggregation. Note that to enable this use case, the corresponding HDFS NameNode has to configure ResourceManager as the proxy-user so that ResourceManager can itself ask for new tokens on behalf of the user when tokens are past their max-life-time.",false
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,Interval for the roll over for the master key used to generate  application tokens ,86400
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,Interval for the roll over for the master key used to generate  container tokens. It is expected to be much greater than  yarn.nm.liveness-monitor.expiry-interval-ms and  yarn.resourcemanager.rm.container-allocation.expiry-interval-ms. Otherwise the  behavior is undefined. ,86400
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,The heart-beat interval in milliseconds for every NodeManager in the cluster.,1000
yarn.resourcemanager.nodemanager.minimum.version,"The minimum allowed version of a connecting nodemanager.  The valid values are   NONE (no version checking), EqualToRM (the nodemanager's version is equal to   or greater than the RM version), or a Version String.",NONE
yarn.resourcemanager.scheduler.monitor.enable,Enable a set of periodic monitors (specified in  yarn.resourcemanager.scheduler.monitor.policies) that affect the  scheduler.,false
yarn.resourcemanager.scheduler.monitor.policies,"The list of SchedulingEditPolicy classes that interact with  the scheduler. A particular module may be incompatible with the  scheduler, other policies, or a configuration of either.",org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.ProportionalCapacityPreemptionPolicy
yarn.resourcemanager.configuration.provider-class,"The class to use as the configuration provider. If org.apache.hadoop.yarn.LocalConfigurationProvider is used, the local configuration will be loaded. If org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider is used, the configuration which will be loaded should be uploaded to remote File system first. ",org.apache.hadoop.yarn.LocalConfigurationProvider
yarn.resourcemanager.configuration.file-system-based-store, The value specifies the file system (e.g. HDFS) path where ResourceManager loads configuration if yarn.resourcemanager.configuration.provider-class is set to org.apache.hadoop.yarn.FileSystemBasedConfigurationProvider. ,/yarn/conf
yarn.resourcemanager.system-metrics-publisher.enabled,"The setting that controls whether yarn system metrics is published to the Timeline server (version one) or not, by RM. This configuration is now deprecated in favor of yarn.system-metrics-publisher.enabled.",false
yarn.system-metrics-publisher.enabled,The setting that controls whether yarn system metrics is published on the Timeline service or not by RM And NM.,false
yarn.rm.system-metrics-publisher.emit-container-events,The setting that controls whether yarn container events are published to the timeline service or not by RM. This configuration setting is for ATS V2.,false
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,Number of worker threads that send the yarn system metrics data.,10
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,Number of diagnostics/failure messages can be saved in RM for log aggregation. It also defines the number of diagnostics/failure messages can be shown in log aggregation web ui.,10
yarn.resourcemanager.delegation-token-renewer.thread-count, RM DelegationTokenRenewer thread count ,50
yarn.resourcemanager.delegation.key.update-interval, RM secret key update interval in ms ,86400000
yarn.resourcemanager.delegation.token.max-lifetime, RM delegation token maximum lifetime in ms ,604800000
yarn.resourcemanager.delegation.token.renew-interval, RM delegation token update interval in ms ,86400000
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size, Thread pool size for RMApplicationHistoryWriter. ,10
yarn.resourcemanager.metrics.runtime.buckets, Comma-separated list of values (in minutes) for schedule queue related metrics. ,"60,300,1440"
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs, Interval for the roll over for the master key used to generate NodeManager tokens.  It is expected to be set to a value much larger than yarn.nm.liveness-monitor.expiry-interval-ms. ,86400
yarn.resourcemanager.reservation-system.enable, Flag to enable the ResourceManager reservation system. ,false
yarn.resourcemanager.reservation-system.class," The Java class to use as the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacityReservationSystem when using CapacityScheduler and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairReservationSystem when using FairScheduler. ",
yarn.resourcemanager.reservation-system.plan.follower," The plan follower policy class name to use for the ResourceManager reservation system. By default, is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.CapacitySchedulerPlanFollower is used when using CapacityScheduler, and is set to org.apache.hadoop.yarn.server.resourcemanager.reservation.FairSchedulerPlanFollower when using FairScheduler. ",
yarn.resourcemanager.reservation-system.planfollower.time-step, Step size of the reservation system in ms ,1000
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms, The expiry interval for a container ,600000
yarn.nodemanager.hostname,The hostname of the NM.,0.0.0.0
yarn.nodemanager.address,The address of the container manager in the NM.,${yarn.nodemanager.hostname}:0
yarn.nodemanager.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.nodemanager.address and yarn.nodemanager.webapp.address, respectively. This is   most useful for making NM listen to all interfaces by setting to 0.0.0.0. ",
yarn.nodemanager.admin-env,Environment variables that should be forwarded from the NodeManager's environment to the container's.,MALLOC_ARENA_MAX=$MALLOC_ARENA_MAX
yarn.nodemanager.env-whitelist,Environment variables that containers may override rather than use NodeManager's default.,"JAVA_HOME,HADOOP_COMMON_HOME,HADOOP_HDFS_HOME,HADOOP_CONF_DIR,CLASSPATH_PREPEND_DISTCACHE,HADOOP_YARN_HOME"
yarn.nodemanager.container-executor.class,who will execute(launch) the containers.,org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor
yarn.nodemanager.container-state-transition-listener.classes,Comma separated List of container state transition listeners.,
yarn.nodemanager.container-manager.thread-count,Number of threads container manager uses.,20
yarn.nodemanager.collector-service.thread-count,Number of threads collector service uses.,5
yarn.nodemanager.delete.thread-count,Number of threads used in cleanup.,4
yarn.nodemanager.opportunistic-containers-max-queue-length,Max number of OPPORTUNISTIC containers to queue at the   nodemanager.,0
yarn.nodemanager.delete.debug-delay-sec,"   Number of seconds after an application finishes before the nodemanager's    DeletionService will delete the application's localized file directory   and log directory.   To diagnose YARN application problems, set this property's value large   enough (for example, to 600 = 10 minutes) to permit examination of these   directories. After changing the property's value, you must restart the    nodemanager in order for it to have an effect.   The roots of YARN applications' work directories is configurable with   the yarn.nodemanager.local-dirs property (see below), and the roots   of the YARN applications' log directories is configurable with the   yarn.nodemanager.log-dirs property (see also below). ",0
yarn.nodemanager.keytab,Keytab for NM.,/etc/krb5.keytab
yarn.nodemanager.local-dirs,"List of directories to store localized files in. An    application's localized file directory will be found in:   ${yarn.nodemanager.local-dirs}/usercache/${user}/appcache/application_${appid}.   Individual containers' work directories, called container_${contid}, will   be subdirectories of this.   ",${hadoop.tmp.dir}/nm-local-dir
yarn.nodemanager.local-cache.max-files-per-directory,"It limits the maximum number of files which will be localized   in a single local directory. If the limit is reached then sub-directories   will be created and new files will be localized in them. If it is set to   a value less than or equal to 36 [which are sub-directories (0-9 and then   a-z)] then NodeManager will fail to start. For example; [for public   cache] if this is configured with a value of 40 ( 4 files +   36 sub-directories) and the local-dir is ""/tmp/local-dir1"" then it will   allow 4 files to be created directly inside ""/tmp/local-dir1/filecache"".   For files that are localized further it will create a sub-directory ""0""   inside ""/tmp/local-dir1/filecache"" and will localize files inside it   until it becomes full. If a file is removed from a sub-directory that   is marked full, then that sub-directory will be used back again to   localize files.   ",8192
yarn.nodemanager.localizer.address,Address where the localizer IPC is.,${yarn.nodemanager.hostname}:8040
yarn.nodemanager.collector-service.address,Address where the collector service IPC is.,${yarn.nodemanager.hostname}:8048
yarn.nodemanager.localizer.cache.cleanup.interval-ms,Interval in between cache cleanups.,600000
yarn.nodemanager.localizer.cache.target-size-mb,"Target size of localizer cache in MB, per nodemanager. It is   a target retention size that only includes resources with PUBLIC and    PRIVATE visibility and excludes resources with APPLICATION visibility ",10240
yarn.nodemanager.localizer.client.thread-count,Number of threads to handle localization requests.,5
yarn.nodemanager.localizer.fetch.thread-count,Number of threads to use for localization fetching.,4
yarn.nodemanager.container-localizer.java.opts, ,-Xmx256m
yarn.nodemanager.log-dirs,"   Where to store container logs. An application's localized log directory   will be found in ${yarn.nodemanager.log-dirs}/application_${appid}.   Individual containers' log directories will be below this, in directories    named container_{$contid}. Each container directory will contain the files   stderr, stdin, and syslog generated by that container. ",${yarn.log.dir}/userlogs
yarn.nodemanager.default-container-executor.log-dirs.permissions,   The permissions settings used for the creation of container   directories when using DefaultContainerExecutor.  This follows   standard user/group/all permissions format. ,710
yarn.log-aggregation-enable,"Whether to enable log aggregation. Log aggregation collects   each container's logs and moves these logs onto a file-system, for e.g.   HDFS, after the application completes. Users can configure the   ""yarn.nodemanager.remote-app-log-dir"" and   ""yarn.nodemanager.remote-app-log-dir-suffix"" properties to determine   where these logs are moved to. Users can access the logs via the   Application Timeline Server. ",false
yarn.log-aggregation.retain-seconds,How long to keep aggregation logs before deleting them.  -1 disables.  Be careful set this too small and you will spam the name node.,-1
yarn.log-aggregation.retain-check-interval-seconds,How long to wait between aggregated log retention checks. If set to 0 or a negative value then the value is computed as one-tenth of the aggregated log retention time. Be careful set this too small and you will spam the name node.,-1
yarn.log-aggregation.file-formats,"Specify which log file controllers we will support. The first file controller we add will be used to write the aggregated logs. This comma separated configuration will work with the configuration: yarn.log-aggregation.file-controller.%s.class which defines the supported file controller's class. By default, the TFile controller would be used. The user could override this configuration by adding more file controllers. To support back-ward compatibility, make sure that we always add TFile file controller.",TFile
yarn.log-aggregation.file-controller.TFile.class,Class that supports TFile read and write operations.,org.apache.hadoop.yarn.logaggregation.filecontroller.tfile.LogAggregationTFileController
yarn.log-aggregation-status.time-out.ms," How long for ResourceManager to wait for NodeManager to report its log aggregation status. If waiting time of which the log aggregation status is reported from NodeManager exceeds the configured value, RM will report log aggregation status for this NodeManager as TIME_OUT ",600000
yarn.nodemanager.log.retain-seconds,Time in seconds to retain user logs. Only applicable if log aggregation is disabled ,10800
yarn.nodemanager.remote-app-log-dir,Where to aggregate logs to.,/tmp/logs
yarn.nodemanager.remote-app-log-dir-suffix,The remote log dir will be created at    {yarn.nodemanager.remote-app-log-dir}/${user}/{thisParam} ,logs
yarn.nodemanager.log-container-debug-info.enabled,"Generate additional logs about container launches. Currently, this creates a copy of the launch script and lists the directory contents of the container work dir. When listing directory contents, we follow symlinks to a max-depth of 5(including symlinks which point to outside the container work dir) which may lead to a slowness in launching containers. ",false
yarn.nodemanager.resource.memory-mb,"Amount of physical memory, in MB, that can be allocated  for containers. If set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true, it is automatically calculated(in case of Windows and Linux). In other cases, the default is 8192MB. ",-1
yarn.nodemanager.resource.system-reserved-memory-mb,"Amount of physical memory, in MB, that is reserved for non-YARN processes. This configuration is only used if yarn.nodemanager.resource.detect-hardware-capabilities is set to true and yarn.nodemanager.resource.memory-mb is -1. If set to -1, this amount is calculated as 20% of (system memory - 2*HADOOP_HEAPSIZE) ",-1
yarn.nodemanager.pmem-check-enabled,Whether physical memory limits will be enforced for containers.,true
yarn.nodemanager.vmem-check-enabled,Whether virtual memory limits will be enforced for containers.,true
yarn.nodemanager.vmem-pmem-ratio,"Ratio between virtual memory to physical memory when setting memory limits for containers. Container allocations are expressed in terms of physical memory, and virtual memory usage is allowed to exceed this allocation by this ratio. ",2.1
yarn.nodemanager.resource.cpu-vcores,"Number of vcores that can be allocated for containers. This is used by the RM scheduler when allocating resources for containers. This is not used to limit the number of CPUs used by YARN containers. If it is set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true, it is automatically determined from the hardware in case of Windows and Linux. In other cases, number of vcores is 8 by default.",-1
yarn.nodemanager.resource.count-logical-processors-as-cores,Flag to determine if logical processors(such as hyperthreads) should be counted as cores. Only applicable on Linux when yarn.nodemanager.resource.cpu-vcores is set to -1 and yarn.nodemanager.resource.detect-hardware-capabilities is true. ,false
yarn.nodemanager.resource.pcores-vcores-multiplier,Multiplier to determine how to convert phyiscal cores to vcores. This value is used if yarn.nodemanager.resource.cpu-vcores is set to -1(which implies auto-calculate vcores) and yarn.nodemanager.resource.detect-hardware-capabilities is set to true. The number of vcores will be calculated as number of CPUs * multiplier. ,1.0
yarn.nodemanager.logaggregation.threadpool-size-max, Thread pool size for LogAggregationService in Node Manager. ,100
yarn.nodemanager.resource.percentage-physical-cpu-limit,Percentage of CPU that can be allocated for containers. This setting allows users to limit the amount of CPU that YARN containers use. Currently functional only on Linux using cgroups. The default is to use 100% of CPU. ,100
yarn.nodemanager.resource.detect-hardware-capabilities,Enable auto-detection of node capabilities such as memory and CPU. ,false
yarn.nodemanager.webapp.address,NM Webapp address.,${yarn.nodemanager.hostname}:8042
yarn.nodemanager.webapp.https.address, The https adddress of the NM web application. ,0.0.0.0:8044
yarn.nodemanager.webapp.spnego-keytab-file, The Kerberos keytab file to be used for spnego filter for the NM web interface. ,
yarn.nodemanager.webapp.spnego-principal, The Kerberos principal to be used for spnego filter for the NM web interface. ,
yarn.nodemanager.resource-monitor.interval-ms,"How often to monitor the node and the containers. If 0 or negative, monitoring is disabled.",3000
yarn.nodemanager.resource-calculator.class,Class that calculates current resource utilization.,
yarn.nodemanager.container-monitor.enabled,Enable container monitor,true
yarn.nodemanager.container-monitor.interval-ms,"How often to monitor containers. If not set, the value for yarn.nodemanager.resource-monitor.interval-ms will be used. If 0 or negative, container monitoring is disabled.",
yarn.nodemanager.container-monitor.resource-calculator.class,"Class that calculates containers current resource utilization. If not set, the value for yarn.nodemanager.resource-calculator.class will be used.",
yarn.nodemanager.health-checker.interval-ms,Frequency of running node health script.,600000
yarn.nodemanager.health-checker.script.timeout-ms,Script time out period.,1200000
yarn.nodemanager.health-checker.script.path,The health check script to run.,
yarn.nodemanager.health-checker.script.opts,The arguments to pass to the health check script.,
yarn.nodemanager.disk-health-checker.interval-ms,Frequency of running disk health checker code.,120000
