hadoop.common.configuration.version,version of this configuration file,0.23.0
hadoop.security.groups.shell.command.timeout," Used by the ShellBasedUnixGroupsMapping class, this property controls how long to wait for the underlying shell command that is run to fetch groups. Expressed in seconds (e.g. 10s, 1m, etc.), if the running command takes longer than the value configured, the command is aborted and the groups resolver would return a result of no groups found. A value of 0s (default) would mean an infinite wait (i.e. wait until the command exits on its own).  ",0s
hadoop.security.group.mapping.ldap.connection.timeout.ms," This property is the connection timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't establish a connection within the specified period, it will abort the connect attempt. Non-positive value means no LDAP connection timeout is specified in which case it waits for the connection to establish until the underlying network times out.  ",60000
hadoop.security.group.mapping.ldap.read.timeout.ms," This property is the read timeout (in milliseconds) for LDAP operations. If the LDAP provider doesn't get a LDAP response within the specified period, it will abort the read attempt. Non-positive value means no read timeout is specified in which case it waits for the response infinitely.  ",60000
hadoop.security.group.mapping.ldap.url, The URL of the LDAP server to use for resolving user groups when using the LdapGroupsMapping user to group mapping.  ,
hadoop.security.group.mapping.ldap.ssl, Whether or not to use SSL when connecting to the LDAP server.  ,false
hadoop.security.group.mapping.ldap.ssl.keystore, File path to the SSL keystore that contains the SSL certificate required by the LDAP server.  ,
hadoop.security.group.mapping.ldap.ssl.keystore.password.file," The path to a file containing the password of the LDAP SSL keystore. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.ssl.keystore.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ",
hadoop.security.group.mapping.ldap.ssl.keystore.password, The password of the LDAP SSL keystore. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  ,
hadoop.security.credential.clear-text-fallback, true or false to indicate whether or not to fall back to storing credential password as clear text. The default value is true. This property only works when the password can't not be found from credential providers.  ,true
hadoop.security.credential.provider.path, A comma-separated list of URLs that indicates the type and location of a list of providers that should be consulted.  ,
hadoop.security.credstore.java-keystore-provider.password-file, The path to a file containing the custom password for all keystores that may be configured in the provider path.  ,
hadoop.security.group.mapping.ldap.ssl.truststore, File path to the SSL truststore that contains the root certificate used to sign the LDAP server's certificate. Specify this if the LDAP server's certificate is not signed by a well known certificate authority.  ,
hadoop.security.group.mapping.ldap.ssl.truststore.password.file, The path to a file containing the password of the LDAP SSL truststore. IMPORTANT: This file should be readable only by the Unix user running the daemons.  ,
hadoop.security.group.mapping.ldap.bind.user, The distinguished name of the user to bind as when connecting to the LDAP server. This may be left blank if the LDAP server supports anonymous binds.  ,
hadoop.security.group.mapping.ldap.bind.password.file," The path to a file containing the password of the bind user. If the password is not configured in credential providers and the property hadoop.security.group.mapping.ldap.bind.password is not set, LDAPGroupsMapping reads password from the file. IMPORTANT: This file should be readable only by the Unix user running the daemons and should be a local file.  ",
hadoop.security.group.mapping.ldap.bind.password, The password of the bind user. this property name is used as an alias to get the password from credential providers. If the password can not be found and hadoop.security.credential.clear-text-fallback is true LDAPGroupsMapping uses the value of this property for password.  ,
hadoop.security.group.mapping.ldap.base," The search base for the LDAP connection. This is a distinguished name, and will typically be the root of the LDAP directory.  ",
hadoop.security.group.mapping.ldap.userbase," The search base for the LDAP connection for user search query. This is a distinguished name, and its the root of the LDAP directory for users. If not set, hadoop.security.group.mapping.ldap.base is used.  ",
hadoop.security.group.mapping.ldap.groupbase," The search base for the LDAP connection for group search . This is a distinguished name, and its the root of the LDAP directory for groups. If not set, hadoop.security.group.mapping.ldap.base is used.  ",
hadoop.security.group.mapping.ldap.search.filter.user," An additional filter to use when searching for LDAP users. The default will usually be appropriate for Active Directory installations. If connecting to an LDAP server with a non-AD schema, this should be replaced with (&(objectClass=inetOrgPerson)(uid={0}). {0} is a special string used to denote where the username fits into the filter. If the LDAP server supports posixGroups, Hadoop can enable the feature by setting the value of this property to ""posixAccount"" and the value of the hadoop.security.group.mapping.ldap.search.filter.group property to ""posixGroup"".  ",(&(objectClass=user)(sAMAccountName={0}))
hadoop.security.group.mapping.ldap.search.filter.group, An additional filter to use when searching for LDAP groups. This should be changed when resolving groups against a non-Active Directory installation. See the description of hadoop.security.group.mapping.ldap.search.filter.user to enable posixGroups support.  ,(objectClass=group)
hadoop.security.group.mapping.ldap.search.attr.memberof,"   The attribute of the user object that identifies its group objects. By   default, Hadoop makes two LDAP queries per user if this value is empty. If   set, Hadoop will attempt to resolve group names from this attribute,   instead of making the second LDAP query to get group objects. The value   should be 'memberOf' for an MS AD installation. ",
hadoop.security.group.mapping.ldap.search.attr.member, The attribute of the group object that identifies the users that are members of the group. The default will usually be appropriate for any LDAP installation.  ,member
hadoop.security.group.mapping.ldap.search.attr.group.name, The attribute of the group object that identifies the group name. The default will usually be appropriate for all LDAP systems.  ,cn
hadoop.security.group.mapping.ldap.search.group.hierarchy.levels, The number of levels to go up the group hierarchy when determining which groups a user is part of. 0 Will represent checking just the group that the user belongs to.  Each additional level will raise the time it takes to execute a query by at most hadoop.security.group.mapping.ldap.directory.search.timeout. The default will usually be appropriate for all LDAP systems.  ,0
hadoop.security.group.mapping.ldap.posix.attr.uid.name, The attribute of posixAccount to use when groups for membership. Mostly useful for schemas wherein groups have memberUids that use an attribute other than uidNumber.  ,uidNumber
hadoop.security.group.mapping.ldap.posix.attr.gid.name, The attribute of posixAccount indicating the group id.  ,gidNumber
hadoop.security.group.mapping.ldap.directory.search.timeout, The attribute applied to the LDAP SearchControl properties to set a maximum time limit when searching and awaiting a result. Set to 0 if infinite wait period is desired. Default is 10 seconds. Units in milliseconds.  ,10000
hadoop.security.group.mapping.providers, Comma separated of names of other providers to provide user to group mapping. Used by CompositeGroupsMapping.  ,
hadoop.security.group.mapping.providers.combined," true or false to indicate whether groups from the providers are combined or not. The default value is true. If true, then all the providers will be tried to get groups and all the groups are combined to return as the final results. Otherwise, providers are tried one by one in the configured list order, and if any groups are retrieved from any provider, then the groups will be returned without trying the left ones.  ",true
hadoop.security.service.user.name.key," For those cases where the same RPC protocol is implemented by multiple servers, this configuration is required for specifying the principal name to use for the service when the client wishes to make an RPC call.  ",
fs.azure.user.agent.prefix,"   WASB passes User-Agent header to the Azure back-end. The default value   contains WASB version, Java Runtime version, Azure Client library version,   and the value of the configuration option fs.azure.user.agent.prefix. ",unknown
hadoop.security.uid.cache.secs,  This is the config controlling the validity of the entries in the cache  containing the userId to userName and groupId to groupName used by  NativeIO getFstat(). ,14400
hadoop.service.shutdown.timeout,"   Timeout to wait for each shutdown operation to complete.   If a hook takes longer than this time to complete, it will be interrupted,   so the service will shutdown. This allows the service shutdown   to recover from a blocked operation.   Some shutdown hooks may need more time than this, for example when   a large amount of data needs to be uploaded to an object store.   In this situation: increase the timeout.   The minimum duration of the timeout is 1 second, ""1s"". ",30s
hadoop.rpc.protection,"A comma-separated list of protection values for secured sasl   connections. Possible values are authentication, integrity and privacy.   authentication means authentication only and no integrity or privacy;   integrity implies authentication and integrity are enabled; and privacy   implies all of authentication, integrity and privacy are enabled.   hadoop.security.saslproperties.resolver.class can be used to override   the hadoop.rpc.protection for a connection at the server side.  ",authentication
hadoop.security.saslproperties.resolver.class,"SaslPropertiesResolver used to resolve the QOP used for a   connection. If not specified, the full set of values specified in   hadoop.rpc.protection is used while determining the QOP used for the   connection. If a class is specified, then the QOP values returned by   the class will be used while determining the QOP used for the connection.  ",
hadoop.security.sensitive-config-keys,"A comma-separated or multi-line list of regular expressions to   match configuration keys that should be redacted where appropriate, for   example, when logging modified properties during a reconfiguration,   private credentials should not be logged.  ","
      secret$
      password$
      ssl.keystore.pass$
      fs.s3.*[Ss]ecret.?[Kk]ey
      fs.s3a.*.server-side-encryption.key
      fs.azure.account.key.*
      credential$
      oauth.*token$
      hadoop.security.sensitive-config-keys
  "
hadoop.workaround.non.threadsafe.getpwuid,"Some operating systems or authentication modules are known to  have broken implementations of getpwuid_r and getpwgid_r, such that these  calls are not thread-safe. Symptoms of this problem include JVM crashes  with a stack trace inside these functions. If your system exhibits this  issue, enable this configuration parameter to include a lock around the  calls as a workaround.  An incomplete list of some systems known to have this issue is available  at http://wiki.apache.org/hadoop/KnownBrokenPwuidImplementations  ",true
hadoop.kerberos.kinit.command,Used to periodically renew Kerberos credentials when provided  to Hadoop. The default setting assumes that kinit is in the PATH of users  running the Hadoop client. Change this to the absolute path to kinit if this  is not the case.  ,kinit
hadoop.kerberos.min.seconds.before.relogin,"The minimum time between relogin attempts for Kerberos, in seconds. ",60
hadoop.security.auth_to_local,Maps kerberos principals to local user names,
hadoop.token.files,List of token cache files that have delegation tokens for hadoop service,
io.file.buffer.size,"The size of buffer for use in sequence files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
io.bytes.per.checksum,The number of bytes per checksum.  Must not be larger than  io.file.buffer.size.,512
io.skip.checksum.errors,"If true, when a checksum error is encountered while  reading a sequence file, entries are skipped, instead of throwing an  exception.",false
io.compression.codecs,"A comma-separated list of the compression codec classes that can  be used for compression/decompression. In addition to any classes specified  with this property (which take precedence), codec classes on the classpath  are discovered using a Java ServiceLoader.",
io.compression.codec.bzip2.library,"The native-code library to be used for compression and  decompression by the bzip2 codec.  This library could be specified  either by by name or the full pathname.  In the former case, the  library is located by the dynamic linker, usually searching the  directories specified in the environment variable LD_LIBRARY_PATH.  The value of ""system-native"" indicates that the default system  library should be used.  To indicate that the algorithm should  operate entirely in Java, specify ""java-builtin"".",system-native
io.serializations,A list of serialization classes that can be used for  obtaining serializers and deserializers.,"org.apache.hadoop.io.serializer.WritableSerialization, org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization, org.apache.hadoop.io.serializer.avro.AvroReflectSerialization"
io.seqfile.local.dir,The local directory where sequence file stores intermediate  data files during merge.  May be a comma-separated list of  directories on different devices in order to spread disk i/o.  Directories that do not exist are ignored.  ,${hadoop.tmp.dir}/io/local
io.map.index.skip,Number of index entries to skip between each entry.  Zero by default. Setting this to values larger than zero can  facilitate opening large MapFiles using less memory.,0
io.map.index.interval," MapFile consist of two files - data file (tuples) and index file (keys). For every io.map.index.interval records written in the data file, an entry (record-key, data-file-position) is written in the index file. This is to allow for doing binary search later within the index file to look up records by their keys and get their closest positions in the data file.  ",128
fs.defaultFS,"The name of the default file system.  A URI whose  scheme and authority determine the FileSystem implementation.  The  uri's scheme determines the config property (fs.SCHEME.impl) naming  the FileSystem implementation class.  The uri's authority is used to  determine the host, port, etc. for a filesystem.",file:///
fs.default.name,Deprecated. Use (fs.defaultFS) property  instead,file:///
fs.trash.interval,"Number of minutes after which the checkpoint  gets deleted.  If zero, the trash feature is disabled.  This option may be configured both on the server and the  client. If trash is disabled server side then the client  side configuration is checked. If trash is enabled on the  server side then the value configured on the server is  used and the client configuration value is ignored.  ",0
fs.trash.checkpoint.interval,"Number of minutes between trash checkpoints.  Should be smaller or equal to fs.trash.interval. If zero,  the value is set to the value of fs.trash.interval.  Every time the checkpointer runs it creates a new checkpoint  out of current and removes checkpoints created more than  fs.trash.interval minutes ago.  ",0
fs.protected.directories,A comma-separated list of directories which cannot be deleted even by the superuser unless they are empty. This setting can be used to guard important system directories against accidental deletion due to administrator error.  ,
fs.AbstractFileSystem.file.impl,The AbstractFileSystem for file: uris.,org.apache.hadoop.fs.local.LocalFs
fs.AbstractFileSystem.har.impl,The AbstractFileSystem for har: uris.,org.apache.hadoop.fs.HarFs
fs.AbstractFileSystem.hdfs.impl,The FileSystem for hdfs: uris.,org.apache.hadoop.fs.Hdfs
fs.AbstractFileSystem.viewfs.impl,The AbstractFileSystem for view file system for viewfs: uris  (ie client side mount table:).,org.apache.hadoop.fs.viewfs.ViewFs
fs.viewfs.rename.strategy,"Allowed rename strategy to rename between multiple mountpoints. Allowed values are SAME_MOUNTPOINT,SAME_TARGET_URI_ACROSS_MOUNTPOINT and SAME_FILESYSTEM_ACROSS_MOUNTPOINT.  ",SAME_MOUNTPOINT
fs.AbstractFileSystem.ftp.impl,The FileSystem for Ftp: uris.,org.apache.hadoop.fs.ftp.FtpFs
fs.AbstractFileSystem.webhdfs.impl,The FileSystem for webhdfs: uris.,org.apache.hadoop.fs.WebHdfs
fs.AbstractFileSystem.swebhdfs.impl,The FileSystem for swebhdfs: uris.,org.apache.hadoop.fs.SWebHdfs
fs.ftp.host,FTP filesystem connects to this server,0.0.0.0
fs.ftp.host.port, FTP filesystem connects to fs.ftp.host on this port  ,21
fs.ftp.data.connection.mode,"Set the FTPClient's data connection mode based on configuration. Valid values are ACTIVE_LOCAL_DATA_CONNECTION_MODE, PASSIVE_LOCAL_DATA_CONNECTION_MODE and PASSIVE_REMOTE_DATA_CONNECTION_MODE.  ",ACTIVE_LOCAL_DATA_CONNECTION_MODE
fs.ftp.transfer.mode," Set FTP's transfer mode based on configuration. Valid values are STREAM_TRANSFER_MODE, BLOCK_TRANSFER_MODE and COMPRESSED_TRANSFER_MODE.  ",BLOCK_TRANSFER_MODE
fs.df.interval,Disk usage statistics refresh interval in msec.,60000
fs.du.interval,File space usage statistics refresh interval in msec.,600000
fs.s3.awsAccessKeyId,AWS access key ID used by S3 block file system.,
fs.s3.awsSecretAccessKey,AWS secret key used by S3 block file system.,
fs.s3.block.size,Block size to use when writing files to S3.,67108864
fs.s3.buffer.dir,Determines where on the local filesystem the s3:/s3n: filesystem  should store files before sending them to S3  (or after retrieving them from S3).  ,${hadoop.tmp.dir}/s3
fs.s3.maxRetries,"The maximum number of retries for reading or writing files to S3,  before we signal failure to the application.  ",4
fs.s3.sleepTimeSeconds,The number of seconds to sleep between each S3 retry.  ,10
fs.swift.impl,The implementation class of the OpenStack Swift Filesystem,org.apache.hadoop.fs.swift.snative.SwiftNativeFileSystem
fs.automatic.close,"By default, FileSystem instances are automatically closed at program  exit using a JVM shutdown hook. Setting this property to false disables this  behavior. This is an advanced option that should only be used by server applications  requiring a more carefully orchestrated shutdown sequence.  ",true
fs.s3n.awsAccessKeyId,AWS access key ID used by S3 native file system.,
fs.s3n.awsSecretAccessKey,AWS secret key used by S3 native file system.,
fs.s3n.block.size,Block size to use when reading files using the native S3  filesystem (s3n: URIs).,67108864
fs.s3n.multipart.uploads.enabled,"Setting this property to true enables multiple uploads to  native S3 filesystem. When uploading a file, it is split into blocks  if the size is larger than fs.s3n.multipart.uploads.block.size.  ",false
fs.s3n.multipart.uploads.block.size,The block size for multipart uploads to native S3 filesystem.  Default size is 64MB.  ,67108864
fs.s3n.multipart.copy.block.size,The block size for multipart copy in native S3 filesystem.  Default size is 5GB.  ,5368709120
fs.s3n.server-side-encryption-algorithm,"Specify a server-side encryption algorithm for S3.  Unset by default, and the only other currently allowable value is AES256.  ",
fs.s3a.access.key,AWS access key ID used by S3A file system. Omit for IAM role-based or provider-based authentication.,
fs.s3a.secret.key,AWS secret key used by S3A file system. Omit for IAM role-based or provider-based authentication.,
fs.s3a.aws.credentials.provider," Comma-separated class names of credential provider classes which implement com.amazonaws.auth.AWSCredentialsProvider. These are loaded and queried in sequence for a valid set of credentials. Each listed class must implement one of the following means of construction, which are attempted in order: 1. a public constructor accepting java.net.URI and  org.apache.hadoop.conf.Configuration, 2. a public static method named getInstance that accepts no    arguments and returns an instance of    com.amazonaws.auth.AWSCredentialsProvider, or 3. a public default constructor. Specifying org.apache.hadoop.fs.s3a.AnonymousAWSCredentialsProvider allows anonymous access to a publicly accessible S3 bucket without any credentials. Please note that allowing anonymous access to an S3 bucket compromises security and therefore is unsuitable for most use cases. It can be useful for accessing public data sets without requiring AWS credentials. If unspecified, then the default list of credential provider classes, queried in sequence, is: 1. org.apache.hadoop.fs.s3a.BasicAWSCredentialsProvider: supports static  configuration of AWS access key ID and secret access key.  See also  fs.s3a.access.key and fs.s3a.secret.key. 2. com.amazonaws.auth.EnvironmentVariableCredentialsProvider: supports  configuration of AWS access key ID and secret access key in  environment variables named AWS_ACCESS_KEY_ID and  AWS_SECRET_ACCESS_KEY, as documented in the AWS SDK. 3. org.apache.hadoop.fs.s3a.SharedInstanceProfileCredentialsProvider:  a shared instance of  com.amazonaws.auth.InstanceProfileCredentialsProvider from the AWS  SDK, which supports use of instance profile credentials if running  in an EC2 VM.  Using this shared instance potentially reduces load  on the EC2 instance metadata service for multi-threaded  applications.  ",
fs.s3a.session.token,"Session token, when using org.apache.hadoop.fs.s3a.TemporaryAWSCredentialsProvider as one of the providers.  ",
fs.s3a.security.credential.provider.path," Optional comma separated list of credential providers, a list which is prepended to that set in hadoop.security.credential.provider.path  ",
fs.s3a.connection.maximum,Controls the maximum number of simultaneous connections to S3.,15
fs.s3a.connection.ssl.enabled,Enables or disables SSL connections to S3.,true
fs.s3a.endpoint,"AWS S3 endpoint to connect to. An up-to-date list is provided in the AWS Documentation: regions and endpoints. Without this property, the standard region (s3.amazonaws.com) is assumed.  ",
fs.s3a.path.style.access,Enable S3 path style access ie disabling the default virtual hosting behaviour. Useful for S3A-compliant storage providers as it removes the need to set up DNS for virtual hosting.  ,false
fs.s3a.proxy.host,Hostname of the (optional) proxy server for S3 connections.,
fs.s3a.proxy.port,"Proxy server port. If this property is not set but fs.s3a.proxy.host is, port 80 or 443 is assumed (consistent with the value of fs.s3a.connection.ssl.enabled).",
fs.s3a.proxy.username,Username for authenticating with proxy server.,
fs.s3a.proxy.password,Password for authenticating with proxy server.,
fs.s3a.proxy.domain,Domain for authenticating with proxy server.,
fs.s3a.proxy.workstation,Workstation for authenticating with proxy server.,
fs.s3a.attempts.maximum,How many times we should retry commands on transient errors.,20
fs.s3a.connection.establish.timeout,Socket connection setup timeout in milliseconds.,5000
fs.s3a.connection.timeout,Socket connection timeout in milliseconds.,200000
fs.s3a.socket.send.buffer,Socket send buffer hint to amazon connector. Represented in bytes.,8192
fs.s3a.socket.recv.buffer,Socket receive buffer hint to amazon connector. Represented in bytes.,8192
fs.s3a.paging.maximum,How many keys to request from S3 when doing  directory listings at a time.,5000
fs.s3a.threads.max,The total number of threads available in the filesystem for data uploads *or any other queued filesystem operation*.,10
fs.s3a.threads.keepalivetime,Number of seconds a thread can be idle before being terminated.,60
fs.s3a.max.total.tasks,The number of operations which can be queued for execution,5
fs.s3a.multipart.size,"How big (in bytes) to split upload or copy operations up into. A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.  ",100M
fs.s3a.multipart.threshold,"How big (in bytes) to split upload or copy operations up into. This also controls the partition size in renamed files, as rename() involves copying the source file(s). A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.  ",2147483647
fs.s3a.multiobjectdelete.enable,"When enabled, multiple single-object delete requests are replaced by a single 'delete multiple objects'-request, reducing the number of requests. Beware: legacy S3-compatible object stores might not support this request.  ",true
fs.s3a.acl.default,"Set a canned ACL for newly created and copied objects. Value may be Private,   PublicRead, PublicReadWrite, AuthenticatedRead, LogDeliveryWrite, BucketOwnerRead,   or BucketOwnerFullControl.",
fs.s3a.multipart.purge,"True if you want to purge existing multipart uploads that may not have been completed/aborted correctly. The corresponding purge age is defined in fs.s3a.multipart.purge.age. If set, when the filesystem is instantiated then all outstanding uploads older than the purge age will be terminated -across the entire bucket. This will impact multipart uploads by other applications and users. so should be used sparingly, with an age value chosen to stop failed uploads, without breaking ongoing operations.  ",false
fs.s3a.multipart.purge.age,Minimum age in seconds of multipart uploads to purge.  ,86400
fs.s3a.server-side-encryption-algorithm,"Specify a server-side encryption algorithm for s3a: file system. Unset by default.  It supports the following values: 'AES256' (for SSE-S3), 'SSE-KMS' and 'SSE-C'.  ",
fs.s3a.server-side-encryption.key,"Specific encryption key to use if fs.s3a.server-side-encryption-algorithm has been set to 'SSE-KMS' or 'SSE-C'. In the case of SSE-C, the value of this property should be the Base64 encoded key. If you are using SSE-KMS and leave this property empty, you'll be using your default's S3 KMS key, otherwise you should set this property to the specific KMS key id.  ",
fs.s3a.signing-algorithm,Override the default signing algorithm so legacy implementations can still be used,
fs.s3a.block.size,"Block size to use when reading files using s3a: file system. A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.  ",32M
fs.s3a.buffer.dir,Comma separated list of directories that will be used to buffer file uploads to.,${hadoop.tmp.dir}/s3a
fs.s3a.fast.upload, Use the incremental block-based fast upload mechanism with the buffering mechanism set in fs.s3a.fast.upload.buffer.  ,false
fs.s3a.fast.upload.buffer," The buffering mechanism to use when using S3A fast upload (fs.s3a.fast.upload=true). Values: disk, array, bytebuffer. This configuration option has no effect if fs.s3a.fast.upload is false. ""disk"" will use the directories listed in fs.s3a.buffer.dir as the location(s) to save data prior to being uploaded. ""array"" uses arrays in the JVM heap ""bytebuffer"" uses off-heap memory within the JVM. Both ""array"" and ""bytebuffer"" will consume memory in a single stream up to the number of blocks set by:  fs.s3a.multipart.size * fs.s3a.fast.upload.active.blocks. If using either of these mechanisms, keep this value low The total number of threads performing work across all threads is set by fs.s3a.threads.max, with fs.s3a.max.total.tasks values setting the number of queued work items.  ",disk
fs.s3a.fast.upload.active.blocks," Maximum Number of blocks a single output stream can have active (uploading, or queued to the central FileSystem instance's pool of queued operations. This stops a single stream overloading the shared thread pool.  ",4
fs.s3a.readahead.range,"Bytes to read ahead during a seek() before closing and  re-opening the S3 HTTP connection. This option will be overridden if  any call to setReadahead() is made to an open stream.  A suffix from the set {K,M,G,T,P} may be used to scale the numeric value.  ",64K
fs.s3a.user.agent.prefix," Sets a custom value that will be prepended to the User-Agent header sent in HTTP requests to the S3 back-end by S3AFileSystem.  The User-Agent header always includes the Hadoop version number followed by a string generated by the AWS SDK.  An example is ""User-Agent: Hadoop 2.8.0, aws-sdk-java/1.10.6"". If this optional property is set, then its value is prepended to create a customized User-Agent.  For example, if this configuration property was set to ""MyApp"", then an example of the resulting User-Agent would be ""User-Agent: MyApp, Hadoop 2.8.0, aws-sdk-java/1.10.6"".  ",
fs.s3a.metadatastore.authoritative,"  When true, allow MetadataStore implementations to act as source of  truth for getting file status and directory listings.  Even if this  is set to true, MetadataStore implementations may choose not to  return authoritative results.  If the configured MetadataStore does  not support being authoritative, this setting will have no effect. ",false
fs.s3a.metadatastore.impl,"  Fully-qualified name of the class that implements the MetadataStore  to be used by s3a.  The default class, NullMetadataStore, has no  effect: s3a will continue to treat the backing S3 service as the one  and only source of truth for file and directory metadata. ",org.apache.hadoop.fs.s3a.s3guard.NullMetadataStore
fs.s3a.s3guard.cli.prune.age,  Default age (in milliseconds) after which to prune metadata from the  metadatastore when the prune command is run.  Can be overridden on the  command-line. ,86400000
fs.s3a.impl,The implementation class of the S3A Filesystem,org.apache.hadoop.fs.s3a.S3AFileSystem
fs.s3a.s3guard.ddb.region," AWS DynamoDB region to connect to. An up-to-date list is provided in the AWS Documentation: regions and endpoints. Without this property, the S3Guard will operate table in the associated S3 bucket region.  ",
fs.s3a.s3guard.ddb.table," The DynamoDB table name to operate. Without this property, the respective S3 bucket name will be used.  ",
fs.s3a.s3guard.ddb.table.create," If true, the S3A client will create the table if it does not already exist.  ",false
fs.s3a.s3guard.ddb.table.capacity.read," Provisioned throughput requirements for read operations in terms of capacity units for the DynamoDB table.  This config value will only be used when creating a new DynamoDB table, though later you can manually provision by increasing or decreasing read capacity as needed for existing tables. See DynamoDB documents for more information.  ",500
fs.s3a.s3guard.ddb.table.capacity.write, Provisioned throughput requirements for write operations in terms of capacity units for the DynamoDB table.  Refer to related config fs.s3a.s3guard.ddb.table.capacity.read before usage.  ,100
fs.s3a.s3guard.ddb.max.retries,"   Max retries on batched DynamoDB operations before giving up and   throwing an IOException.  Each retry is delayed with an exponential   backoff timer which starts at 100 milliseconds and approximately   doubles each time.  The minimum wait before throwing an exception is   sum(100, 200, 400, 800, .. 100*2^N-1 ) == 100 * ((2^N)-1)   So N = 9 yields at least 51.1 seconds (51,100) milliseconds of blocking   before throwing an IOException. ",9
fs.s3a.s3guard.ddb.background.sleep, Length (in milliseconds) of pause between each batch of deletes when pruning metadata.  Prevents prune operations (which can typically be low priority background operations) from overly interfering with other I/O operations.  ,25
fs.AbstractFileSystem.s3a.impl,The implementation class of the S3A AbstractFileSystem.,org.apache.hadoop.fs.s3a.S3A
fs.wasb.impl,The implementation class of the Native Azure Filesystem,org.apache.hadoop.fs.azure.NativeAzureFileSystem
fs.wasbs.impl,The implementation class of the Secure Native Azure Filesystem,org.apache.hadoop.fs.azure.NativeAzureFileSystem$Secure
fs.azure.secure.mode," Config flag to identify the mode in which fs.azure.NativeAzureFileSystem needs to run under. Setting it ""true"" would make fs.azure.NativeAzureFileSystem use SAS keys to communicate with Azure storage.  ",false
fs.azure.local.sas.key.mode," Works in conjuction with fs.azure.secure.mode. Setting this config to true results in fs.azure.NativeAzureFileSystem using the local SAS key generation where the SAS keys are generating in the same process as fs.azure.NativeAzureFileSystem. If fs.azure.secure.mode flag is set to false, this flag has no effect.  ",false
