ID,Option A,Option B,Option A Description,Option B Description
31,project_domain_id,auth_version,"A domain ID of the project which is the requested project-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`","A version of the authentication service to use.
Valid versions are 2 and 3 for Keystone and 1 (deprecated) for Swauth and Rackspace. Optional. Default: 2"
32,project_domain_name,auth_version,"A domain name of the project which is the requested project-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`","A version of the authentication service to use.
Valid versions are 2 and 3 for Keystone and 1 (deprecated) for Swauth and Rackspace. Optional. Default: 2"
33,user_domain_id,user,"A domain ID of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
34,user_domain_id,auth_version,"A domain ID of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 .`","A version of the authentication service to use.
Valid versions are 2 and 3 for Keystone and 1 (deprecated) for Swauth and Rackspace. Optional. Default: 2"
35,user_domain_name,user,"A domain name of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 . `","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
36,user_domain_name,auth_version,"A domain name of the user which is the requested domain-level
authorization scope. Optional. Default: None This option can be specified if ``auth_version` is 3 . `","A version of the authentication service to use.
Valid versions are 2 and 3 for Keystone and 1 (deprecated) for Swauth and Rackspace. Optional. Default: 2"
37,rbd_store_user,user,"Optional. Default: admin Can only be specified in configuration files. This option is specific to the RBD storage backend. Sets the RADOS user to authenticate as. This is only needed
when RADOS authentication is enabled.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
38,rbd_store_user,enabled,"Optional. Default: admin Can only be specified in configuration files. This option is specific to the RBD storage backend. Sets the RADOS user to authenticate as. This is only needed
when RADOS authentication is enabled.","Optional. Default: False There is one more configuration option that needs to be defined to enable
Glance services profiling. The config value hmac_keys is used for
encrypting context data for performance profiling."
39,os_region_name,cinder_os_region_name,Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Region name of this node. Deprecated. Use cinder_os_region_name instead.,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Region name of this node.  If specified, it is used to locate cinder from
the service catalog."
40,cinder_store_user_name,user,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
41,cinder_store_user_name,auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects.",An address where the Swift authentication service is located.
42,cinder_store_user_name,cinder_store_password,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
43,cinder_store_user_name,cinder_store_project_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
44,cinder_store_user_name,cinder_store_auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. The address where the Cinder authentication service is listening. If <None>,
the cinder endpoint in the service catalog is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
45,cinder_store_user_domain_name,user,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
46,cinder_store_user_domain_name,auth_address,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.",An address where the Swift authentication service is located.
47,cinder_store_user_domain_name,cinder_store_user_name,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects."
48,cinder_store_user_domain_name,cinder_store_password,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
49,cinder_store_user_domain_name,cinder_store_project_name,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
50,cinder_store_user_domain_name,cinder_store_auth_address,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the user to authenticate against cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. The address where the Cinder authentication service is listening. If <None>,
the cinder endpoint in the service catalog is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
51,cinder_store_password,user,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
52,cinder_store_password,auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.",An address where the Swift authentication service is located.
53,cinder_store_password,cinder_store_user_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects."
54,cinder_store_password,cinder_store_project_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
55,cinder_store_password,cinder_store_auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. The address where the Cinder authentication service is listening. If <None>,
the cinder endpoint in the service catalog is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
56,cinder_store_project_name,user,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
57,cinder_store_project_name,auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.",An address where the Swift authentication service is located.
58,cinder_store_project_name,cinder_store_user_name,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. User name to authenticate against Cinder. If <None>, the user of current
context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.
These options are useful to put image volumes into the internal service
project in order to hide the volume from users, and to make the image
shareable among projects."
59,cinder_store_project_name,cinder_store_password,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Password for the user authenticating against Cinder. If <None>, the current
context auth token is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
60,cinder_store_project_name,cinder_store_auth_address,"Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. Project name where the image is stored in Cinder. If <None>, the project
in current context is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","Optional. Default: None Can only be specified in configuration files. This option is specific to the Cinder storage backend. The address where the Cinder authentication service is listening. If <None>,
the cinder endpoint in the service catalog is used. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set."
61,cinder_store_project_domain_name,user,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the project where the image volume is stored in cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.","A project_name user_name pair in the project_name:user_name format
to authenticate against the Swift authentication service."
62,cinder_store_project_domain_name,auth_address,"Optional. Default: Default Can only be specified in configuration files. This option is specific to the Cinder storage backend. Domain of the project where the image volume is stored in cinder. NOTE : This option is applied only if all of cinder_store_user_name , cinder_store_password , cinder_store_project_name and cinder_store_auth_address are set.",An address where the Swift authentication service is located.
