type,start_lineno,end_lineno,filepath
Try,341,345,apps/glance/glance/location.py
For,346,351,apps/glance/glance/location.py
If,364,367,apps/glance/glance/location.py
If,400,402,apps/glance/glance/location.py
If,404,431,apps/glance/glance/location.py
While,435,441,apps/glance/glance/location.py
If,467,472,apps/glance/glance/location.py
If,485,510,apps/glance/glance/location.py
For,512,514,apps/glance/glance/location.py
If,529,544,apps/glance/glance/location.py
If,554,558,apps/glance/glance/location.py
If,561,562,apps/glance/glance/location.py
If,568,581,apps/glance/glance/location.py
If,583,593,apps/glance/glance/location.py
Try,595,605,apps/glance/glance/location.py
Try,608,661,apps/glance/glance/location.py
If,663,664,apps/glance/glance/location.py
If,666,667,apps/glance/glance/location.py
If,670,676,apps/glance/glance/location.py
For,678,699,apps/glance/glance/location.py
If,716,739,apps/glance/glance/location.py
If,65,85,apps/glance/glance/location.py
Try,100,110,apps/glance/glance/location.py
If,164,170,apps/glance/glance/location.py
If,172,175,apps/glance/glance/location.py
If,213,214,apps/glance/glance/location.py
If,321,322,apps/glance/glance/location.py
IfExp,338,338,apps/glance/glance/location.py
IfExp,339,339,apps/glance/glance/location.py
If,410,412,apps/glance/glance/location.py
If,418,430,apps/glance/glance/location.py
For,468,472,apps/glance/glance/location.py
Try,530,544,apps/glance/glance/location.py
Try,600,605,apps/glance/glance/location.py
If,611,632,apps/glance/glance/location.py
Try,679,699,apps/glance/glance/location.py
For,718,739,apps/glance/glance/location.py
If,71,76,apps/glance/glance/location.py
With,280,281,apps/glance/glance/location.py
With,283,284,apps/glance/glance/location.py
For,419,426,apps/glance/glance/location.py
For,429,430,apps/glance/glance/location.py
If,615,632,apps/glance/glance/location.py
If,640,645,apps/glance/glance/location.py
If,649,655,apps/glance/glance/location.py
If,659,661,apps/glance/glance/location.py
If,681,691,apps/glance/glance/location.py
If,719,739,apps/glance/glance/location.py
If,425,426,apps/glance/glance/location.py
If,535,541,apps/glance/glance/location.py
If,621,632,apps/glance/glance/location.py
If,725,730,apps/glance/glance/location.py
If,54,57,apps/glance/glance/context.py
If,58,61,apps/glance/glance/context.py
If,65,66,apps/glance/glance/context.py
If,95,96,apps/glance/glance/context.py
If,46,49,apps/glance/glance/gateway.py
If,76,79,apps/glance/glance/gateway.py
If,115,118,apps/glance/glance/gateway.py
If,37,38,apps/glance/glance/sqlite_migration.py
If,43,47,apps/glance/glance/sqlite_migration.py
If,53,59,apps/glance/glance/sqlite_migration.py
If,67,69,apps/glance/glance/sqlite_migration.py
If,55,59,apps/glance/glance/sqlite_migration.py
Try,86,91,apps/glance/glance/sqlite_migration.py
With,94,143,apps/glance/glance/sqlite_migration.py
If,145,150,apps/glance/glance/sqlite_migration.py
For,100,135,apps/glance/glance/sqlite_migration.py
For,139,143,apps/glance/glance/sqlite_migration.py
If,103,135,apps/glance/glance/sqlite_migration.py
If,123,129,apps/glance/glance/sqlite_migration.py
For,127,129,apps/glance/glance/notifier.py
If,135,136,apps/glance/glance/notifier.py
For,221,223,apps/glance/glance/notifier.py
If,128,129,apps/glance/glance/notifier.py
If,322,323,apps/glance/glance/notifier.py
If,326,327,apps/glance/glance/notifier.py
For,412,414,apps/glance/glance/notifier.py
If,416,419,apps/glance/glance/notifier.py
Try,421,427,apps/glance/glance/notifier.py
Try,442,503,apps/glance/glance/notifier.py
For,919,920,apps/glance/glance/notifier.py
IfExp,402,402,apps/glance/glance/notifier.py
IfExp,404,404,apps/glance/glance/notifier.py
If,502,503,apps/glance/glance/notifier.py
With,485,490,apps/glance/glance/notifier.py
With,492,497,apps/glance/glance/notifier.py
If,39,41,apps/glance/glance/quota/__init__.py
If,43,44,apps/glance/glance/quota/__init__.py
If,46,48,apps/glance/glance/quota/__init__.py
If,53,74,apps/glance/glance/quota/__init__.py
If,79,81,apps/glance/glance/quota/__init__.py
If,86,88,apps/glance/glance/quota/__init__.py
For,56,74,apps/glance/glance/quota/__init__.py
IfExp,84,84,apps/glance/glance/quota/__init__.py
If,103,105,apps/glance/glance/quota/__init__.py
If,112,116,apps/glance/glance/quota/__init__.py
If,119,120,apps/glance/glance/quota/__init__.py
If,145,146,apps/glance/glance/quota/__init__.py
If,175,179,apps/glance/glance/quota/__init__.py
If,196,198,apps/glance/glance/quota/__init__.py
If,204,206,apps/glance/glance/quota/__init__.py
If,244,245,apps/glance/glance/quota/__init__.py
If,316,320,apps/glance/glance/quota/__init__.py
Try,348,357,apps/glance/glance/quota/__init__.py
If,378,379,apps/glance/glance/quota/__init__.py
Try,59,70,apps/glance/glance/quota/__init__.py
If,72,74,apps/glance/glance/quota/__init__.py
Try,176,179,apps/glance/glance/quota/__init__.py
If,60,66,apps/glance/glance/quota/__init__.py
With,353,357,apps/glance/glance/quota/__init__.py
If,51,52,apps/glance/glance/quota/keystone.py
Try,59,73,apps/glance/glance/quota/keystone.py
If,148,149,apps/glance/glance/quota/keystone.py
If,151,152,apps/glance/glance/quota/keystone.py
For,36,41,apps/glance/glance/api/property_protections.py
For,87,90,apps/glance/glance/api/property_protections.py
If,94,97,apps/glance/glance/api/property_protections.py
Try,104,116,apps/glance/glance/api/property_protections.py
If,119,120,apps/glance/glance/api/property_protections.py
If,122,126,apps/glance/glance/api/property_protections.py
If,37,41,apps/glance/glance/api/property_protections.py
If,88,90,apps/glance/glance/api/property_protections.py
If,105,110,apps/glance/glance/api/property_protections.py
If,106,110,apps/glance/glance/api/property_protections.py
If,112,116,apps/glance/glance/api/property_protections.py
If,45,47,apps/glance/glance/api/common.py
Try,49,58,apps/glance/glance/api/common.py
If,60,68,apps/glance/glance/api/common.py
Try,74,94,apps/glance/glance/api/common.py
If,119,124,apps/glance/glance/api/common.py
If,133,134,apps/glance/glance/api/common.py
If,157,158,apps/glance/glance/api/common.py
If,162,163,apps/glance/glance/api/common.py
If,167,179,apps/glance/glance/api/common.py
If,181,187,apps/glance/glance/api/common.py
If,226,227,apps/glance/glance/api/common.py
For,50,52,apps/glance/glance/api/common.py
If,84,87,apps/glance/glance/api/common.py
If,172,178,apps/glance/glance/api/common.py
With,54,58,apps/glance/glance/api/common.py
If,196,197,apps/glance/glance/api/common.py
If,83,92,apps/glance/glance/api/versions.py
If,93,105,apps/glance/glance/api/versions.py
For,33,34,apps/glance/glance/api/__init__.py
If,106,107,apps/glance/glance/api/policy.py
If,112,115,apps/glance/glance/api/policy.py
If,51,52,apps/glance/glance/api/policy.py
If,68,69,apps/glance/glance/api/policy.py
Try,70,77,apps/glance/glance/api/policy.py
If,87,88,apps/glance/glance/api/policy.py
If,114,115,apps/glance/glance/api/policy.py
If,150,155,apps/glance/glance/api/policy.py
Try,159,162,apps/glance/glance/api/policy.py
For,170,171,apps/glance/glance/api/policy.py
For,172,173,apps/glance/glance/api/policy.py
For,174,175,apps/glance/glance/api/policy.py
If,152,155,apps/glance/glance/api/policy.py
If,79,84,apps/glance/glance/api/middleware/cache_manage.py
If,66,67,apps/glance/glance/api/middleware/cache.py
If,69,77,apps/glance/glance/api/middleware/cache.py
For,86,96,apps/glance/glance/api/middleware/cache.py
Try,111,119,apps/glance/glance/api/middleware/cache.py
Try,129,133,apps/glance/glance/api/middleware/cache.py
If,141,143,apps/glance/glance/api/middleware/cache.py
If,145,146,apps/glance/glance/api/middleware/cache.py
If,152,153,apps/glance/glance/api/middleware/cache.py
Try,164,171,apps/glance/glance/api/middleware/cache.py
Try,188,195,apps/glance/glance/api/middleware/cache.py
If,221,222,apps/glance/glance/api/middleware/cache.py
If,233,234,apps/glance/glance/api/middleware/cache.py
If,237,238,apps/glance/glance/api/middleware/cache.py
Try,240,244,apps/glance/glance/api/middleware/cache.py
If,246,250,apps/glance/glance/api/middleware/cache.py
Try,253,260,apps/glance/glance/api/middleware/cache.py
If,263,265,apps/glance/glance/api/middleware/cache.py
If,270,272,apps/glance/glance/api/middleware/cache.py
If,274,275,apps/glance/glance/api/middleware/cache.py
If,279,281,apps/glance/glance/api/middleware/cache.py
If,302,303,apps/glance/glance/api/middleware/cache.py
With,308,311,apps/glance/glance/api/middleware/cache.py
If,72,77,apps/glance/glance/api/middleware/cache.py
If,87,88,apps/glance/glance/api/middleware/cache.py
If,90,91,apps/glance/glance/api/middleware/cache.py
If,95,96,apps/glance/glance/api/middleware/cache.py
For,310,311,apps/glance/glance/api/middleware/cache.py
Try,73,84,apps/glance/glance/api/middleware/context.py
If,107,112,apps/glance/glance/api/middleware/context.py
If,127,133,apps/glance/glance/api/middleware/context.py
If,136,140,apps/glance/glance/api/middleware/context.py
If,81,82,apps/glance/glance/api/middleware/context.py
If,109,112,apps/glance/glance/api/middleware/context.py
Try,128,133,apps/glance/glance/api/middleware/context.py
IfExp,79,79,apps/glance/glance/api/middleware/context.py
If,42,63,apps/glance/glance/api/middleware/gzip.py
If,62,63,apps/glance/glance/api/middleware/gzip.py
If,48,49,apps/glance/glance/api/middleware/version_negotiation.py
If,52,59,apps/glance/glance/api/middleware/version_negotiation.py
Try,61,65,apps/glance/glance/api/middleware/version_negotiation.py
If,85,87,apps/glance/glance/api/middleware/version_negotiation.py
If,89,94,apps/glance/glance/api/middleware/version_negotiation.py
If,107,108,apps/glance/glance/api/middleware/version_negotiation.py
If,109,112,apps/glance/glance/api/middleware/version_negotiation.py
If,120,121,apps/glance/glance/api/middleware/version_negotiation.py
While,122,123,apps/glance/glance/api/middleware/version_negotiation.py
If,125,126,apps/glance/glance/api/middleware/version_negotiation.py
If,57,59,apps/glance/glance/api/v2/discovery.py
For,62,91,apps/glance/glance/api/v2/discovery.py
If,102,113,apps/glance/glance/api/v2/discovery.py
Try,168,193,apps/glance/glance/api/v2/discovery.py
If,63,64,apps/glance/glance/api/v2/discovery.py
If,67,81,apps/glance/glance/api/v2/discovery.py
If,84,85,apps/glance/glance/api/v2/discovery.py
If,86,87,apps/glance/glance/api/v2/discovery.py
If,89,90,apps/glance/glance/api/v2/discovery.py
If,112,113,apps/glance/glance/api/v2/discovery.py
For,182,189,apps/glance/glance/api/v2/discovery.py
If,70,81,apps/glance/glance/api/v2/discovery.py
IfExp,106,106,apps/glance/glance/api/v2/discovery.py
Try,56,62,apps/glance/glance/api/v2/metadef_tags.py
Try,65,68,apps/glance/glance/api/v2/metadef_tags.py
Try,69,93,apps/glance/glance/api/v2/metadef_tags.py
Try,101,107,apps/glance/glance/api/v2/metadef_tags.py
Try,109,137,apps/glance/glance/api/v2/metadef_tags.py
Try,144,150,apps/glance/glance/api/v2/metadef_tags.py
Try,152,183,apps/glance/glance/api/v2/metadef_tags.py
Try,190,196,apps/glance/glance/api/v2/metadef_tags.py
Try,198,214,apps/glance/glance/api/v2/metadef_tags.py
Try,219,225,apps/glance/glance/api/v2/metadef_tags.py
Try,227,252,apps/glance/glance/api/v2/metadef_tags.py
Try,259,265,apps/glance/glance/api/v2/metadef_tags.py
Try,267,284,apps/glance/glance/api/v2/metadef_tags.py
If,370,372,apps/glance/glance/api/v2/metadef_tags.py
If,376,378,apps/glance/glance/api/v2/metadef_tags.py
If,384,387,apps/glance/glance/api/v2/metadef_tags.py
Try,392,396,apps/glance/glance/api/v2/metadef_tags.py
If,398,400,apps/glance/glance/api/v2/metadef_tags.py
Try,407,410,apps/glance/glance/api/v2/metadef_tags.py
If,426,427,apps/glance/glance/api/v2/metadef_tags.py
If,429,430,apps/glance/glance/api/v2/metadef_tags.py
Try,437,440,apps/glance/glance/api/v2/metadef_tags.py
For,446,449,apps/glance/glance/api/v2/metadef_tags.py
For,122,124,apps/glance/glance/api/v2/metadef_tags.py
If,165,167,apps/glance/glance/api/v2/metadef_tags.py
If,385,387,apps/glance/glance/api/v2/metadef_tags.py
If,447,449,apps/glance/glance/api/v2/metadef_tags.py
Try,49,73,apps/glance/glance/api/v2/image_actions.py
Try,78,102,apps/glance/glance/api/v2/image_actions.py
If,64,65,apps/glance/glance/api/v2/image_actions.py
If,93,94,apps/glance/glance/api/v2/image_actions.py
If,52,55,apps/glance/glance/api/v2/cached_images.py
If,65,69,apps/glance/glance/api/v2/cached_images.py
If,73,74,apps/glance/glance/api/v2/cached_images.py
Try,75,81,apps/glance/glance/api/v2/cached_images.py
If,83,85,apps/glance/glance/api/v2/cached_images.py
Try,161,170,apps/glance/glance/api/v2/cached_images.py
If,178,179,apps/glance/glance/api/v2/cached_images.py
If,182,183,apps/glance/glance/api/v2/cached_images.py
If,195,207,apps/glance/glance/api/v2/cached_images.py
Try,229,234,apps/glance/glance/api/v2/cached_images.py
If,238,241,apps/glance/glance/api/v2/cached_images.py
While,274,284,apps/glance/glance/api/v2/cached_images.py
If,198,207,apps/glance/glance/api/v2/cached_images.py
If,276,278,apps/glance/glance/api/v2/cached_images.py
If,167,170,apps/glance/glance/api/v2/cached_images.py
If,200,207,apps/glance/glance/api/v2/cached_images.py
Try,50,74,apps/glance/glance/api/v2/metadef_resource_types.py
Try,79,85,apps/glance/glance/api/v2/metadef_resource_types.py
Try,87,117,apps/glance/glance/api/v2/metadef_resource_types.py
Try,127,133,apps/glance/glance/api/v2/metadef_resource_types.py
Try,135,155,apps/glance/glance/api/v2/metadef_resource_types.py
Try,163,169,apps/glance/glance/api/v2/metadef_resource_types.py
Try,171,200,apps/glance/glance/api/v2/metadef_resource_types.py
If,212,214,apps/glance/glance/api/v2/metadef_resource_types.py
For,219,222,apps/glance/glance/api/v2/metadef_resource_types.py
Try,227,230,apps/glance/glance/api/v2/metadef_resource_types.py
For,185,189,apps/glance/glance/api/v2/metadef_resource_types.py
If,190,191,apps/glance/glance/api/v2/metadef_resource_types.py
If,220,222,apps/glance/glance/api/v2/metadef_resource_types.py
If,186,189,apps/glance/glance/api/v2/metadef_resource_types.py
If,365,367,apps/glance/glance/api/v2/metadef_properties.py
Try,67,73,apps/glance/glance/api/v2/metadef_properties.py
Try,75,96,apps/glance/glance/api/v2/metadef_properties.py
Try,101,107,apps/glance/glance/api/v2/metadef_properties.py
Try,109,146,apps/glance/glance/api/v2/metadef_properties.py
Try,153,159,apps/glance/glance/api/v2/metadef_properties.py
Try,161,184,apps/glance/glance/api/v2/metadef_properties.py
Try,190,196,apps/glance/glance/api/v2/metadef_properties.py
Try,198,223,apps/glance/glance/api/v2/metadef_properties.py
Try,229,235,apps/glance/glance/api/v2/metadef_properties.py
Try,237,254,apps/glance/glance/api/v2/metadef_properties.py
If,266,268,apps/glance/glance/api/v2/metadef_properties.py
For,273,276,apps/glance/glance/api/v2/metadef_properties.py
Try,281,284,apps/glance/glance/api/v2/metadef_properties.py
Try,291,294,apps/glance/glance/api/v2/metadef_properties.py
If,119,136,apps/glance/glance/api/v2/metadef_properties.py
If,274,276,apps/glance/glance/api/v2/metadef_properties.py
If,128,136,apps/glance/glance/api/v2/metadef_properties.py
For,437,438,apps/glance/glance/api/v2/tasks.py
Try,76,92,apps/glance/glance/api/v2/tasks.py
If,101,102,apps/glance/glance/api/v2/tasks.py
If,105,106,apps/glance/glance/api/v2/tasks.py
Try,110,121,apps/glance/glance/api/v2/tasks.py
Try,128,143,apps/glance/glance/api/v2/tasks.py
If,162,164,apps/glance/glance/api/v2/tasks.py
If,168,170,apps/glance/glance/api/v2/tasks.py
If,176,179,apps/glance/glance/api/v2/tasks.py
If,182,185,apps/glance/glance/api/v2/tasks.py
If,190,192,apps/glance/glance/api/v2/tasks.py
Try,196,200,apps/glance/glance/api/v2/tasks.py
If,202,204,apps/glance/glance/api/v2/tasks.py
For,210,213,apps/glance/glance/api/v2/tasks.py
Try,225,228,apps/glance/glance/api/v2/tasks.py
For,231,235,apps/glance/glance/api/v2/tasks.py
If,250,251,apps/glance/glance/api/v2/tasks.py
If,253,254,apps/glance/glance/api/v2/tasks.py
If,286,287,apps/glance/glance/api/v2/tasks.py
If,288,289,apps/glance/glance/api/v2/tasks.py
If,290,291,apps/glance/glance/api/v2/tasks.py
If,292,293,apps/glance/glance/api/v2/tasks.py
If,308,309,apps/glance/glance/api/v2/tasks.py
If,333,334,apps/glance/glance/api/v2/tasks.py
If,335,338,apps/glance/glance/api/v2/tasks.py
If,113,114,apps/glance/glance/api/v2/tasks.py
If,177,179,apps/glance/glance/api/v2/tasks.py
If,183,185,apps/glance/glance/api/v2/tasks.py
If,211,213,apps/glance/glance/api/v2/tasks.py
Try,232,235,apps/glance/glance/api/v2/tasks.py
If,46,47,apps/glance/glance/api/v2/policy.py
If,51,53,apps/glance/glance/api/v2/policy.py
If,69,70,apps/glance/glance/api/v2/policy.py
If,72,75,apps/glance/glance/api/v2/policy.py
Try,85,88,apps/glance/glance/api/v2/policy.py
Try,100,104,apps/glance/glance/api/v2/policy.py
If,113,114,apps/glance/glance/api/v2/policy.py
If,149,161,apps/glance/glance/api/v2/policy.py
Try,175,193,apps/glance/glance/api/v2/policy.py
Try,196,201,apps/glance/glance/api/v2/policy.py
Try,207,211,apps/glance/glance/api/v2/policy.py
If,214,218,apps/glance/glance/api/v2/policy.py
If,228,230,apps/glance/glance/api/v2/policy.py
Try,242,254,apps/glance/glance/api/v2/policy.py
If,255,256,apps/glance/glance/api/v2/policy.py
If,257,259,apps/glance/glance/api/v2/policy.py
If,271,273,apps/glance/glance/api/v2/policy.py
If,279,281,apps/glance/glance/api/v2/policy.py
If,290,292,apps/glance/glance/api/v2/policy.py
If,298,300,apps/glance/glance/api/v2/policy.py
If,306,308,apps/glance/glance/api/v2/policy.py
If,318,321,apps/glance/glance/api/v2/policy.py
If,330,332,apps/glance/glance/api/v2/policy.py
Try,338,350,apps/glance/glance/api/v2/policy.py
Try,353,358,apps/glance/glance/api/v2/policy.py
If,443,444,apps/glance/glance/api/v2/policy.py
If,454,455,apps/glance/glance/api/v2/policy.py
If,182,183,apps/glance/glance/api/v2/policy.py
If,191,192,apps/glance/glance/api/v2/policy.py
If,249,254,apps/glance/glance/api/v2/policy.py
If,347,349,apps/glance/glance/api/v2/policy.py
Try,63,129,apps/glance/glance/api/v2/metadef_namespaces.py
Try,134,229,apps/glance/glance/api/v2/metadef_namespaces.py
If,249,261,apps/glance/glance/api/v2/metadef_namespaces.py
Try,264,341,apps/glance/glance/api/v2/metadef_namespaces.py
Try,346,352,apps/glance/glance/api/v2/metadef_namespaces.py
Try,354,386,apps/glance/glance/api/v2/metadef_namespaces.py
Try,394,400,apps/glance/glance/api/v2/metadef_namespaces.py
Try,402,416,apps/glance/glance/api/v2/metadef_namespaces.py
Try,420,426,apps/glance/glance/api/v2/metadef_namespaces.py
Try,428,444,apps/glance/glance/api/v2/metadef_namespaces.py
Try,448,454,apps/glance/glance/api/v2/metadef_namespaces.py
Try,456,476,apps/glance/glance/api/v2/metadef_namespaces.py
Try,480,486,apps/glance/glance/api/v2/metadef_namespaces.py
Try,487,503,apps/glance/glance/api/v2/metadef_namespaces.py
If,507,511,apps/glance/glance/api/v2/metadef_namespaces.py
If,513,529,apps/glance/glance/api/v2/metadef_namespaces.py
If,543,545,apps/glance/glance/api/v2/metadef_namespaces.py
For,550,553,apps/glance/glance/api/v2/metadef_namespaces.py
If,561,562,apps/glance/glance/api/v2/metadef_namespaces.py
If,571,572,apps/glance/glance/api/v2/metadef_namespaces.py
If,574,575,apps/glance/glance/api/v2/metadef_namespaces.py
If,580,582,apps/glance/glance/api/v2/metadef_namespaces.py
If,588,591,apps/glance/glance/api/v2/metadef_namespaces.py
Try,596,600,apps/glance/glance/api/v2/metadef_namespaces.py
If,602,604,apps/glance/glance/api/v2/metadef_namespaces.py
Try,618,621,apps/glance/glance/api/v2/metadef_namespaces.py
Try,628,631,apps/glance/glance/api/v2/metadef_namespaces.py
If,656,657,apps/glance/glance/api/v2/metadef_namespaces.py
If,658,661,apps/glance/glance/api/v2/metadef_namespaces.py
If,686,687,apps/glance/glance/api/v2/metadef_namespaces.py
If,80,82,apps/glance/glance/api/v2/metadef_namespaces.py
For,95,113,apps/glance/glance/api/v2/metadef_namespaces.py
If,121,122,apps/glance/glance/api/v2/metadef_namespaces.py
If,147,148,apps/glance/glance/api/v2/metadef_namespaces.py
If,149,150,apps/glance/glance/api/v2/metadef_namespaces.py
If,151,152,apps/glance/glance/api/v2/metadef_namespaces.py
If,153,154,apps/glance/glance/api/v2/metadef_namespaces.py
If,160,161,apps/glance/glance/api/v2/metadef_namespaces.py
If,168,177,apps/glance/glance/api/v2/metadef_namespaces.py
If,180,189,apps/glance/glance/api/v2/metadef_namespaces.py
If,192,201,apps/glance/glance/api/v2/metadef_namespaces.py
If,204,215,apps/glance/glance/api/v2/metadef_namespaces.py
Try,250,261,apps/glance/glance/api/v2/metadef_namespaces.py
Try,268,280,apps/glance/glance/api/v2/metadef_namespaces.py
If,304,305,apps/glance/glance/api/v2/metadef_namespaces.py
If,313,315,apps/glance/glance/api/v2/metadef_namespaces.py
If,321,322,apps/glance/glance/api/v2/metadef_namespaces.py
If,324,326,apps/glance/glance/api/v2/metadef_namespaces.py
If,333,334,apps/glance/glance/api/v2/metadef_namespaces.py
For,508,511,apps/glance/glance/api/v2/metadef_namespaces.py
If,514,518,apps/glance/glance/api/v2/metadef_namespaces.py
If,520,529,apps/glance/glance/api/v2/metadef_namespaces.py
If,551,553,apps/glance/glance/api/v2/metadef_namespaces.py
If,589,591,apps/glance/glance/api/v2/metadef_namespaces.py
Try,99,105,apps/glance/glance/api/v2/metadef_namespaces.py
If,111,113,apps/glance/glance/api/v2/metadef_namespaces.py
For,173,177,apps/glance/glance/api/v2/metadef_namespaces.py
For,185,189,apps/glance/glance/api/v2/metadef_namespaces.py
For,197,201,apps/glance/glance/api/v2/metadef_namespaces.py
For,209,215,apps/glance/glance/api/v2/metadef_namespaces.py
If,509,511,apps/glance/glance/api/v2/metadef_namespaces.py
For,516,517,apps/glance/glance/api/v2/metadef_namespaces.py
For,521,529,apps/glance/glance/api/v2/metadef_namespaces.py
For,523,524,apps/glance/glance/api/v2/metadef_namespaces.py
If,527,529,apps/glance/glance/api/v2/metadef_namespaces.py
Try,54,61,apps/glance/glance/api/v2/image_members.py
Try,65,74,apps/glance/glance/api/v2/image_members.py
If,78,80,apps/glance/glance/api/v2/image_members.py
If,85,100,apps/glance/glance/api/v2/image_members.py
If,103,104,apps/glance/glance/api/v2/image_members.py
Try,105,124,apps/glance/glance/api/v2/image_members.py
Try,144,184,apps/glance/glance/api/v2/image_members.py
Try,205,234,apps/glance/glance/api/v2/image_members.py
Try,256,276,apps/glance/glance/api/v2/image_members.py
Try,301,314,apps/glance/glance/api/v2/image_members.py
Try,321,346,apps/glance/glance/api/v2/image_members.py
If,356,358,apps/glance/glance/api/v2/image_members.py
Try,363,376,apps/glance/glance/api/v2/image_members.py
Try,381,389,apps/glance/glance/api/v2/image_members.py
For,401,402,apps/glance/glance/api/v2/image_members.py
For,424,426,apps/glance/glance/api/v2/image_members.py
If,87,100,apps/glance/glance/api/v2/image_members.py
If,365,366,apps/glance/glance/api/v2/image_members.py
If,88,91,apps/glance/glance/api/v2/image_members.py
If,92,100,apps/glance/glance/api/v2/image_members.py
If,93,96,apps/glance/glance/api/v2/image_members.py
If,97,100,apps/glance/glance/api/v2/image_members.py
If,98,100,apps/glance/glance/api/v2/image_members.py
Try,54,90,apps/glance/glance/api/v2/metadef_objects.py
Try,98,140,apps/glance/glance/api/v2/metadef_objects.py
Try,145,174,apps/glance/glance/api/v2/metadef_objects.py
Try,178,220,apps/glance/glance/api/v2/metadef_objects.py
Try,228,256,apps/glance/glance/api/v2/metadef_objects.py
If,328,330,apps/glance/glance/api/v2/metadef_objects.py
Try,336,343,apps/glance/glance/api/v2/metadef_objects.py
Try,350,353,apps/glance/glance/api/v2/metadef_objects.py
If,369,370,apps/glance/glance/api/v2/metadef_objects.py
If,372,373,apps/glance/glance/api/v2/metadef_objects.py
If,378,380,apps/glance/glance/api/v2/metadef_objects.py
If,386,389,apps/glance/glance/api/v2/metadef_objects.py
Try,394,398,apps/glance/glance/api/v2/metadef_objects.py
If,400,402,apps/glance/glance/api/v2/metadef_objects.py
For,408,411,apps/glance/glance/api/v2/metadef_objects.py
Try,56,64,apps/glance/glance/api/v2/metadef_objects.py
Try,100,106,apps/glance/glance/api/v2/metadef_objects.py
Try,147,153,apps/glance/glance/api/v2/metadef_objects.py
Try,180,188,apps/glance/glance/api/v2/metadef_objects.py
Try,230,238,apps/glance/glance/api/v2/metadef_objects.py
